row_label_raw,row_label_full,col_0,Quyênsử dụng đất,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Tổng,numeric__Quyênsử dụng đất,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.194.885.567,32.483.466.173,30.716.012.168,85.394.363.908,22194885567.0,32483466173.0,30716012168.0,85394363908.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,3.033.645.500,3.033.645.500,,,3033645500.0,3033645500.0
Đầu tư xây dựng cơbản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơbản hoàn thành,Đầu tư xây dựng cơbản hoàn thành,-,-,17.081.594.609,17.081.594.609,,,17081594609.0,17081594609.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.194.885.567,32.483.466.173,50.831.252.277,105.509.604.017,22194885567.0,32483466173.0,50831252277.0,105509604017.0
GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,GIÁ TRỊ HAO MÒN LỦY Kế,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY Kế > Số dư đầu năm,Số dư đầu năm,3.713.945.734,24.577.542.495,25.417.444.149,53.708.932.378,3713945734.0,24577542495.0,25417444149.0,53708932378.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY Kế > Khẩu hao trong năm,Khẩu hao trong năm,1.286.648.162,1.331.534.671,10.551.261.597,13.169.444.430,1286648162.0,1331534671.0,10551261597.0,13169444430.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY Kế > Số dư cuối năm,Số dư cuối năm,5.000.593.896,25.909.077.166,35.968.705.746,66.878.376.808,5000593896.0,25909077166.0,35968705746.0,66878376808.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,18.480.939.833,7.905.923.678,5.298.568.019,31.685.431.530,18480939833.0,7905923678.0,5298568019.0,31685431530.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,17.194.291.671,6.574.389.007,14.862.546.531,38.631.227.209,17194291671.0,6574389007.0,14862546531.0,38631227209.0
