row_label_raw,row_label_full,STT,Chỉ tiêu,Năm 2023 > (tỷ VND),Năm 2022 > (tỷ VND),Biến động > Giá trị (tỷ VND),Biến động > Tỷ lệ (%),numeric__Chỉ tiêu,numeric__Năm 2023 > (tỷ VND),numeric__Năm 2022 > (tỷ VND),numeric__Biến động > Giá trị (tỷ VND),numeric__Biến động > Tỷ lệ (%)
1,1,1,Doanh thu thuần,6.984,4.784,2.200,46%,,6984.0,4784.0,2200.0,0.46
2,2,2,Lợi nhuận gộp,1.052,344,708,206%,,1052.0,344.0,708.0,2.06
3,3,3,Doanh thu hoạt động tài chính,224,633,(409),-65%,,224.0,633.0,-409.0,-0.65
4,4,4,Chi phí tài chính,526,409,117,29%,,526.0,409.0,117.0,0.29
5,5,5,Chi phí bán hàng,969,438,531,121%,,969.0,438.0,531.0,1.21
6,6,6,Chi phí quản lý doanh nghiệp,307,361,(54),-15%,,307.0,361.0,-54.0,-0.15
7,7,7,(Lỗ)/Lợi nhuận thuần sau thuế,(539),(233),(306),131%,,-539.0,-233.0,-306.0,1.31
