row_label_raw,row_label_full,col_0,Mãsố,2023VND,2022VND,numeric__Mãsố,numeric__2023VND,numeric__2022VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành","Tiền thu từ phát hành cổ phiếu, trừ đi chi phíphát hành",31,-,8.619.580.000,31.0,,8619580000.0
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,3.645.400.000.000,2.586.800.000.000,33.0,3645400000000.0,2586800000000.0
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(5.663.600.000.000),(597.900.000.000),34.0,-5663600000000.0,-597900000000.0
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,(209.475),(136.019.100),36.0,-209475.0,-136019100.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(2.018.200.209.475),1.997.383.560.900,40.0,-2018200209475.0,1997383560900.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,4.407.135.591,(80.444.561.785),50.0,4407135591.0,-80444561785.0
Tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền đầu năm,Tiền đầu năm,60,7.668.804.630,88.110.851.108,60.0,7668804630.0,88110851108.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối vớitiền,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái đối vớitiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối vớitiền,61,877.846,2.515.307,61.0,877846.0,2515307.0
Tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 4),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 4),Tiền cuối năm \( (70 = 50 + 60 + 61) \) (Thuyết minh 4),70,12.076.818.067,7.668.804.630,70.0,12076818067.0,7668804630.0
