row_label_raw,row_label_full,col_0,Chi phí trước hoạt động Nghìn VND,Chi phí đền bù giải phóng mặt bằng Nghìn VND,Tiền đóng góp cho Ủy ban Nhân dân Tĩnh Thái Nguyên Nghìn VND,Chi phí khai thác khoáng sản khác Nghìn VND,Chi phí trả trước khác Nghìn VND,Tổng cộng Nghìn VND,numeric__Chi phí trước hoạt động Nghìn VND,numeric__Chi phí đền bù giải phóng mặt bằng Nghìn VND,numeric__Tiền đóng góp cho Ủy ban Nhân dân Tĩnh Thái Nguyên Nghìn VND,numeric__Chi phí khai thác khoáng sản khác Nghìn VND,numeric__Chi phí trả trước khác Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,7.677.810,606.226.331,39.864.000,1.159.914.274,5.498.444,1.819.180.859,7677810.0,606226331.0,39864000.0,1159914274.0,5498444.0,1819180859.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,104.324.266,-,104.324.266,,,,104324266.0,,104324266.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 12),-,554.295.375,-,-,-,554.295.375,,554295375.0,,,,554295375.0
Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,Chuyển từ phải thu dài hạn,-,26.102.744,-,-,-,26.102.744,,26102744.0,,,,26102744.0
Phân loại lại,Phân loại lại,Phân loại lại,-,5.107.922,-,-,(5.107.922),-,,5107922.0,,,-5107922.0,
Tiền thuê đất trả trước được nhận lại,Tiền thuê đất trả trước được nhận lại,Tiền thuê đất trả trước được nhận lại,-,(4.178.207),-,-,-,(4.178.207),,-4178207.0,,,,-4178207.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(2.791.931),(66.937.362),(18.932.000),(61.918.103),(173.565),(150.752.961),-2791931.0,-66937362.0,-18932000.0,-61918103.0,-173565.0,-150752961.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.885.879,1.120.616.803,20.932.000,1.202.320.437,216.957,2.348.972.076,4885879.0,1120616803.0,20932000.0,1202320437.0,216957.0,2348972076.0
