row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2015,ĐồngNghìn VND,FluoritNghìn VND,VonframNghìn VND,Các bộ phậnkhácNghìn VND,Tổng cộngNghìn VND,numeric__ĐồngNghìn VND,numeric__FluoritNghìn VND,numeric__VonframNghìn VND,numeric__Các bộ phậnkhácNghìn VND,numeric__Tổng cộngNghìn VND
Doanh thu bộ phận,Doanh thu bộ phận,Doanh thu bộ phận,672.611.077,776.156.464,1.140.434.864,76.065.090,2.665.267.495,672611077.0,776156464.0,1140434864.0,76065090.0,2665267495.0
Các khoản giảm trừ doanh thu của bộ phận,Các khoản giảm trừ doanh thu của bộ phận,Các khoản giảm trừ doanh thu của bộ phận,-,-,(7.392.789),-,(7.392.789),,,-7392789.0,,-7392789.0
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,672.611.077,776.156.464,1.133.042.075,76.065.090,2.657.874.706,672611077.0,776156464.0,1133042075.0,76065090.0,2657874706.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,122.582.447,404.095.452,225.592.823,11.227.823,763.498.545,122582447.0,404095452.0,225592823.0,11227823.0,763498545.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,408.088.840,,,,,408088840.0
Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,Thu nhập từ hoạt động tài chính,,,,,556.078.851,,,,,556078851.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,834.759.478,,,,,834759478.0
Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,Kết quả từ các hoạt động kinh doanh,,,,,76.729.078,,,,,76729078.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,11.769.734,,,,,11769734.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,29.939.356,,,,,29939356.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,,,,,(25.762.573),,,,,-25762573.0
Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,84.322.029,,,,,84322029.0
