row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Tập đoàn > 31/12/2016Nghìn VND,Tập đoàn > 1/1/2016Nghìn VND,Công ty > 31/12/2016Nghìn VND,Công ty > 1/1/2016Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__Tập đoàn > 31/12/2016Nghìn VND,numeric__Tập đoàn > 1/1/2016Nghìn VND,numeric__Công ty > 31/12/2016Nghìn VND,numeric__Công ty > 1/1/2016Nghìn VND
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,,,
NỘ PHẢI TRẢ (300 = 310 + 330),NGUỒN VỐN > NỘ PHẢI TRẢ (300 = 310 + 330),NỘ PHẢI TRẢ (300 = 310 + 330),300,,14.825.018.166,15.012.572.488,581.264.773,718.158.182,300.0,,14825018166.0,15012572488.0,581264773.0,718158182.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,,3.518.587.636,3.971.178.995,40.190.598,65.834.559,310.0,,3518587636.0,3971178995.0,40190598.0,65834559.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,,385.674.737,527.850.896,33,36.416,311.0,,385674737.0,527850896.0,33.0,36416.0
Người mua trả tiền trước ngắn hạn,NGUỒN VỐN > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,,37.027.125,5.011.136,-,-,312.0,,37027125.0,5011136.0,,
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,15,43.470.903,29.966.819,-,-,313.0,15.0,43470903.0,29966819.0,,
Phải trả người lao động,NGUỒN VỐN > Phải trả người lao động,Phải trả người lao động,314,,14.359,11.626,-,-,314.0,,14359.0,11626.0,,
Chi phí phải trả ngắn hạn,NGUỒN VỐN > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,16,794.222.535,798.272.246,934.647,778.096,315.0,16.0,794222535.0,798272246.0,934647.0,778096.0
Phải trả ngắn hạn khác,NGUỒN VỐN > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,17,31.175.245,79.848.379,39.255.918,65.020.047,319.0,17.0,31175245.0,79848379.0,39255918.0,65020047.0
Vay và nợ thuê tài chính ngắn hạn,NGUỒN VỐN > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,18(a),2.227.002.732,2.530.217.893,-,-,320.0,,2227002732.0,2530217893.0,,
Nợ dài hạn,NGUỒN VỐN > Nợ dài hạn,Nợ dài hạn,330,,11.306.430.530,11.041.393.493,541.074.175,652.323.623,330.0,,11306430530.0,11041393493.0,541074175.0,652323623.0
Phải trả dài hạn khác,NGUỒN VỐN > Phải trả dài hạn khác,Phải trả dài hạn khác,337,17,1.124.123.839,1.581.573.288,541.074.175,652.323.623,337.0,17.0,1124123839.0,1581573288.0,541074175.0,652323623.0
"Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","NGUỒN VỐN > Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn","Vay, trái phiếu phát hành và nợ thuê tài chính dài hạn",338,18(b),8.922.889.456,8.173.417.989,-,-,338.0,,8922889456.0,8173417989.0,,
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,20,675.071.953,704.173.514,-,-,341.0,20.0,675071953.0,704173514.0,,
