row_label_raw,row_label_full,col_0,Mã số,Tập đoàn > 2016Nghin VND,Tập đoàn > 2015Nghin VND,Công ty > 2016Nghin VND,Công ty > 2015Nghin VND,numeric__Mã số,numeric__Tập đoàn > 2016Nghin VND,numeric__Tập đoàn > 2015Nghin VND,numeric__Công ty > 2016Nghin VND,numeric__Công ty > 2015Nghin VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,4.200.895.851,11.247.836.312,-,-,33.0,4200895851.0,11247836312.0,,
Tiền chỉ trả chi phí giao dịch liên quan tới các khoản vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền chỉ trả chi phí giao dịch liên quan tới các khoản vay,Tiền chỉ trả chi phí giao dịch liên quan tới các khoản vay,34,-,(122.500.000),-,-,34.0,,-122500000.0,,
Tiền trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(3.848.163.366),(8.874.377.630),-,(611.053.812),34.0,-3848163366.0,-8874377630.0,,-611053812.0
Tiền trả nợ gốc thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,(14.154.850),(11.351.889),-,-,35.0,-14154850.0,-11351889.0,,
Tiền trả cổ tức,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả cổ tức,Tiền trả cổ tức,36,(52.213.577),(52.070.918),(52.213.577),(52.070.918),36.0,-52213577.0,-52070918.0,-52213577.0,-52070918.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,286.364.058,2.187.535.875,(52.213.577),(663.124.730),40.0,286364058.0,2187535875.0,-52213577.0,-663124730.0
Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),Lưu chuyển tiền thuần trong năm (50 = 20 + 30 + 40),50,230.043.630,231.764.490,399.136,(53.981.013),50.0,230043630.0,231764490.0,399136.0,-53981013.0
Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,372.014.377,136.442.647,497.795,54.478.808,60.0,372014377.0,136442647.0,497795.0,54478808.0
Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,Ảnh hưởng của thay đổi tỷ giá hối đoái đối với tiền và các khoản tương đương tiền,61,1.287.030,3.807.240,-,-,61.0,1287030.0,3807240.0,,
Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 5),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 5),Tiền và các khoản tương đương tiền cuối năm (70 = 50 + 60 + 61) (Thuyết minh 5),70,603.345.037,372.014.377,896.931,497.795,70.0,603345037.0,372014377.0,896931.0,497795.0
