row_label_raw,row_label_full,col_0,Phần mềm máy vi tính Nghìn VND,Quyền khai thác khoáng sản Nghìn VND,Tổng cộng Nghìn VND,numeric__Phần mềm máy vi tính Nghìn VND,numeric__Quyền khai thác khoáng sản Nghìn VND,numeric__Tổng cộng Nghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,88.810.640,588.370.818,677.181.458,88810640.0,588370818.0,677181458.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,759.330,-,759.330,759330.0,,759330.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,89.569.970,588.370.818,677.940.788,89569970.0,588370818.0,677940788.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,27.124.341,35.919.045,63.043.386,27124341.0,35919045.0,63043386.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.617.012,30.550.329,41.167.341,10617012.0,30550329.0,41167341.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,37.741.353,66.469.374,104.210.727,37741353.0,66469374.0,104210727.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,61.686.299,552.451.773,614.138.072,61686299.0,552451773.0,614138072.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,51.828.617,521.901.444,573.730.061,51828617.0,521901444.0,573730061.0
