row_label_raw,row_label_full,Tập đoàn:,Khôi phục hiện trường Nghìn VND,Quyền khai thác mỏ Nghìn VND,Tổng cộng Nghìn VND,numeric__Khôi phục hiện trường Nghìn VND,numeric__Quyền khai thác mỏ Nghìn VND,numeric__Tổng cộng Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,20.987.178,561.241.524,582.228.702,20987178.0,561241524.0,582228702.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,1.616.013,43.894.573,45.510.586,1616013.0,43894573.0,45510586.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,-,(30.000.000),(30.000.000),,-30000000.0,-30000000.0
Bù trừ với khoản hoàn thuế GTGT,Bù trừ với khoản hoàn thuế GTGT,Bù trừ với khoản hoàn thuế GTGT,-,(13.394.006),(13.394.006),,-13394006.0,-13394006.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,22.603.191,561.742.091,584.345.282,22603191.0,561742091.0,584345282.0
