row_label_raw,row_label_full,Tên công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",Tỷ lệ sở hữu và biểu quyết nằm giữ (%),Tỷ lệ sở hữu và biểu quyết nằm giữ (%)_1,numeric__Hoạt động chính,"numeric__Nơi thành lập, đăng ký hoạt động",numeric__Tỷ lệ sở hữu và biểu quyết nằm giữ (%),numeric__Tỷ lệ sở hữu và biểu quyết nằm giữ (%)_1
Tên công ty,Tên công ty,Tên công ty,Hoạt động chính,"Nơi thành lập, đăng ký hoạt động",31.12.2021,31.12.2020,,,31122021.0,31122020.0
Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Công ty Cổ phần Bao bì Dầu khí Việt Nam,Sản xuất bao bì và phân bón,Bạc Liêu,"51,03","51,03",,,51.03,51.03
