row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2021VND,Số phải thu/phải nộp trong nămVND,Cán trừVND,Số đã thựcnộp/được hoàntrong nămVND,Tại ngày31.12.2021VND,numeric__col_1,numeric__Tại ngày1.1.2021VND,numeric__Số phải thu/phải nộp trong nămVND,numeric__Cán trừVND,numeric__Số đã thựcnộp/được hoàntrong nămVND,numeric__Tại ngày31.12.2021VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,74.460.526.799,87.329.925.538,(5.853.221.303),(103.134.959.858),52.802.271.176,,74460526799.0,87329925538.0,-5853221303.0,-103134959858.0,52802271176.0
(a),(a) > (a),(a),Thuế nhập khẩu,-,1.186.326.724,-,(1.186.326.724),-,,,1186326724.0,,-1186326724.0,
(a),(a) > (a),(a),Thuế GTGT nộp thừa,104.855.724,-,-,-,104.855.724,,104855724.0,,,,104855724.0
(a),(a) > (a),(a),Tiền thuê đất,397.346.605,80.190.633,-,(80.190.633),397.346.605,,397346605.0,80190633.0,,-80190633.0,397346605.0
(a),(a) > (a),(a),,74.962.729.128,88.596.442.895,(5.853.221.303),(104.401.477.215),53.304.473.505,,74962729128.0,88596442895.0,-5853221303.0,-104401477215.0,53304473505.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế TNDN,25.901.569.848,136.301.076.248,-,(76.263.646.748),85.938.999.348,,25901569848.0,136301076248.0,,-76263646748.0,85938999348.0
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.051.964.534,44.408.168.800,-,(38.490.656.589),7.969.476.745,,2051964534.0,44408168800.0,,-38490656589.0,7969476745.0
(b),(b) > (b),(b),Thuế GTGT phải nộp,-,5.853.221.303,(5.853.221.303),-,-,,,5853221303.0,-5853221303.0,,
(b),(b) > (b),(b),Thuế GTGT hàng nhập khẩu,-,5.493.158.143,-,(5.493.158.143),-,,,5493158143.0,,-5493158143.0,
(b),(b) > (b),(b),Thuế tài nguyên,229.003.200,2.533.187.850,-,(2.545.884.600),216.306.450,,229003200.0,2533187850.0,,-2545884600.0,216306450.0
(b),(b) > (b),(b),Thuế khác,16.674.000,915.313.922,-,(927.883.922),4.104.000,,16674000.0,915313922.0,,-927883922.0,4104000.0
(b),(b) > (b),(b),,28.199.211.582,195.504.126.266,(5.853.221.303),(123.721.230.002),94.128.886.543,,28199211582.0,195504126266.0,-5853221303.0,-123721230002.0,94128886543.0
