row_label_raw,row_label_full,Tập đoàn Dầu khí Việt Nam,13.283.673.912,45.856.789.285,numeric__13.283.673.912,numeric__45.856.789.285
Ban Quản lý Dự án Khí - Điện - Đạm,Ban Quản lý Dự án Khí - Điện - Đạm,Ban Quản lý Dự án Khí - Điện - Đạm,,,,
Cà Mau,Ban Quản lý Dự án Khí - Điện - Đạm > Cà Mau,Cà Mau,55.851.413.429,55.851.413.429,55851413429.0,55851413429.0
