row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tải và thiết bị truyền dẫnVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tải và thiết bị truyền dẫnVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,3.500.521.206.046,10.442.027.172.443,66.099.572.472,84.701.391.851,59.369.973.815,14.152.719.316.627,3500521206046.0,10442027172443.0,66099572472.0,84701391851.0,59369973815.0,14152719316627.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,688.889.850,23.894.536.402,6.788.788.139,14.090.455.726,-,45.462.670.117,688889850.0,23894536402.0,6788788139.0,14090455726.0,,45462670117.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 11),316.714.497.628,473.786.856.811,-,-,-,790.501.354.439,316714497628.0,473786856811.0,,,,790501354439.0
Khác,Nguyên giá > Khác,Khác,-,-,-,(5.790.031.371),-,(5.790.031.371),,,,-5790031371.0,,-5790031371.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,3.817.924.593.524,10.939.708.565.656,72.888.360.611,93.001.816.206,59.369.973.815,14.982.893.309.812,3817924593524.0,10939708565656.0,72888360611.0,93001816206.0,59369973815.0,14982893309812.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.536.846.860.218,7.634.184.278.554,53.783.472.980,58.636.926.831,18.502.439.027,10.301.953.977.610,2536846860218.0,7634184278554.0,53783472980.0,58636926831.0,18502439027.0,10301953977610.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,333.022.287.539,1.012.698.224.559,3.647.476.567,5.346.155.511,188.907.104,1.354.903.051.280,333022287539.0,1012698224559.0,3647476567.0,5346155511.0,188907104.0,1354903051280.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,2.869.869.147.757,8.646.882.503.113,57.430.949.547,63.983.082.342,18.691.346.131,11.656.857.028.890,2869869147757.0,8646882503113.0,57430949547.0,63983082342.0,18691346131.0,11656857028890.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,963.674.345.828,2.807.842.893.889,12.316.099.492,26.064.465.020,40.867.534.788,3.850.765.339.017,963674345828.0,2807842893889.0,12316099492.0,26064465020.0,40867534788.0,3850765339017.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,948.055.445.767,2.292.826.062.543,15.457.411.064,29.018.733.864,40.678.627.684,3.326.036.280.922,948055445767.0,2292826062543.0,15457411064.0,29018733864.0,40678627684.0,3326036280922.0
