row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Bản quyền, bằng sáng chế VND",Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Bản quyền, bằng sáng chế VND",numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,22.194.885.567,14.080.000.000,110.056.376.805,146.331.262.372,22194885567.0,14080000000.0,110056376805.0,146331262372.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,6.389.701.155,6.389.701.155,,,6389701155.0,6389701155.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,22.194.885.567,14.080.000.000,116.446.077.960,152.720.963.527,22194885567.0,14080000000.0,116446077960.0,152720963527.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,7.573.890.220,14.080.000.000,68.879.799.956,90.533.690.176,7573890220.0,14080000000.0,68879799956.0,90533690176.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.286.648.162,-,21.965.422.050,23.252.070.212,1286648162.0,,21965422050.0,23252070212.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,8.860.538.382,14.080.000.000,90.845.222.006,113.785.760.388,8860538382.0,14080000000.0,90845222006.0,113785760388.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,14.620.995.347,-,41.176.576.849,55.797.572.196,14620995347.0,,41176576849.0,55797572196.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,13.334.347.185,-,25.600.855.954,38.935.203.139,13334347185.0,,25600855954.0,38935203139.0
