row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020_2
,,,Nội địa VND,Nước ngoài VND,Tổng cộng VND,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,5.875.480.552.333,1.647.403.882.825,7.522.884.435.158,5875480552333.0,1647403882825.0,7522884435158.0
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(4.731.491.716.815),(1.501.597.460.261),(6.233.089.177.076),-4731491716815.0,-1501597460261.0,-6233089177076.0
Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,Lợi nhuận kinh doanh theo bộ phận,1.143.988.835.518,145.806.422.564,1.289.795.258.082,1143988835518.0,145806422564.0,1289795258082.0
Chi phí hoạt động chung,Chi phí hoạt động chung,Chi phí hoạt động chung,,,(651.949.219.414),,,-651949219414.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,130.240.695.027,,,130240695027.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,(61.660.315.782),,,-61660315782.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,10.735.344.253,,,10735344253.0
Chi phí khác,Chi phí khác,Chi phí khác,,,(2.333.025.958),,,-2333025958.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,714.828.736.208,,,714828736208.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,(51.252.737.929),,,-51252737929.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,(2.011.554.971),,,-2011554971.0
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,661.564.443.308,,,661564443308.0
