row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,5.294.000.000.000,348.386.378.931,428.063.780.027,6.070.450.158.958,5294000000000.0,348386378931.0,428063780027.0,6070450158958.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,661.564.443.308,661.564.443.308,,,661564443308.0,661564443308.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2020,-,66.156.444.331,(66.156.444.331),-,,66156444331.0,-66156444331.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,(122.201.044.657),(122.201.044.657),,,-122201044657.0,-122201044657.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2019",-,-,315.244.328,315.244.328,,,315244328.0,315244328.0
Chia cổ tức từ lợi nhuận năm 2019 (Thuyết minh 23),Chia cổ tức từ lợi nhuận năm 2019 (Thuyết minh 23),Chia cổ tức từ lợi nhuận năm 2019 (Thuyết minh 23),-,-,(317.640.000.000),(317.640.000.000),,,-317640000000.0,-317640000000.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,5.294.000.000.000,414.542.823.262,583.945.978.675,6.292.488.801.937,5294000000000.0,414542823262.0,583945978675.0,6292488801937.0
Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),Điều chỉnh lợi nhuận liên quan đến cổ phần hóa (i),-,-,(52.267.239.293),(52.267.239.293),,,-52267239293.0,-52267239293.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,1.821.832.926.980,1.821.832.926.980,,,1821832926980.0,1821832926980.0
Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),Tạm trích Quỹ đầu tư phát triển từ lợi nhuận năm 2021 (ii),-,546.549.878.094,(546.549.878.094),-,,546549878094.0,-546549878094.0,
"Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)","Tạm trích Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2021 (ii)",-,-,(196.224.530.000),(196.224.530.000),,,-196224530000.0,-196224530000.0
"Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020","Điều chỉnh giảm Quỹ khen thưởng, phúc lợi từ lợi nhuận năm 2020",-,-,528.642.500,528.642.500,,,528642500.0,528642500.0
Chia cổ tức từ lợi nhuận năm 2020 (Thuyết minh 23),Chia cổ tức từ lợi nhuận năm 2020 (Thuyết minh 23),Chia cổ tức từ lợi nhuận năm 2020 (Thuyết minh 23),-,-,(423.520.000.000),(423.520.000.000),,,-423520000000.0,-423520000000.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,5.294.000.000.000,961.092.701.356,1.187.745.900.768,7.442.838.602.124,5294000000000.0,961092701356.0,1187745900768.0,7442838602124.0
