row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > 10. Tiền gửi và vay các TCTD khác,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2020,Năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2020,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Đơn vị tính: Triệu đồng Việt Nam > 31/12/2020,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Đơn vị tính: Triệu đồng Việt Nam > 01/01/2020
10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,10.1. Tiền gửi của các TCTD khác,,,,
a. Tiền gửi không kỳ hạn,10.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,827.466,5.824.474,827466.0,5824474.0
- Bằng VND,10.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,827.394,5.824.409,827394.0,5824409.0
- Bằng ngoại hồi,10.1. Tiền gửi của các TCTD khác > - Bằng ngoại hồi,- Bằng ngoại hồi,72,65,72.0,65.0
b. Tiền gửi có kỳ hạn,10.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,8.199.707,5.755.815,8199707.0,5755815.0
- Bằng VND,10.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,4.204.272,3.740.025,4204272.0,3740025.0
- Bằng ngoại hồi,10.1. Tiền gửi của các TCTD khác > - Bằng ngoại hồi,- Bằng ngoại hồi,3.995.435,2.015.790,3995435.0,2015790.0
Cộng,10.1. Tiền gửi của các TCTD khác > Cộng,Cộng,9.027.173,11.580.289,9027173.0,11580289.0
10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,10.2. Vay các TCTD khác,,,,
- Bằng VND,10.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,-,242.973,,242973.0
- Bằng ngoại hồi,10.2. Vay các TCTD khác > - Bằng ngoại hồi,- Bằng ngoại hồi,-,590.835,,590835.0
Cộng,10.2. Vay các TCTD khác > Cộng,Cộng,-,833.808,,833808.0
Tổng cộng tiền gửi của và vay TCTD khác,10.2. Vay các TCTD khác > Tổng cộng tiền gửi của và vay TCTD khác,Tổng cộng tiền gửi của và vay TCTD khác,9.027.173,12.414.097,9027173.0,12414097.0
11. Tiền gửi của khách hàng,11. Tiền gửi của khách hàng,11. Tiền gửi của khách hàng,,,,
- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,- Thuyết minh theo loại tiền gửi,31/12/2020,01/01/2020,,
"Tiền, vàng gửi không kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",6.163.218,4.729.576,6163218.0,4729576.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,6.073.979,4.603.649,6073979.0,4603649.0
- Bằng ngoại hồi,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hồi,- Bằng ngoại hồi,89.239,125.927,89239.0,125927.0
"Tiền, vàng gửi có kỳ hạn","- Thuyết minh theo loại tiền gửi > Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",65.717.151,54.182.218,65717151.0,54182218.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,63.276.872,51.855.141,63276872.0,51855141.0
- Bằng ngoại hồi,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hồi,- Bằng ngoại hồi,2.440.279,2.327.077,2440279.0,2327077.0
Tiền gửi vốn chuyên dùng,- Thuyết minh theo loại tiền gửi > Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,8.908,11.024,8908.0,11024.0
Tiền gửi kỳ quỹ,- Thuyết minh theo loại tiền gửi > Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,195.475,172.490,195475.0,172490.0
- Bằng VND,- Thuyết minh theo loại tiền gửi > - Bằng VND,- Bằng VND,195.451,172.483,195451.0,172483.0
- Bằng ngoại hồi,- Thuyết minh theo loại tiền gửi > - Bằng ngoại hồi,- Bằng ngoại hồi,24,7,24.0,7.0
Tổng cộng,- Thuyết minh theo loại tiền gửi > Tổng cộng,Tổng cộng,72.084.752,59.095.308,72084752.0,59095308.0
"- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp","- Thuyết minh theo đối tượng khách hàng, loại hình doanh nghiệp",31/12/2020,01/01/2020,,
