row_label_raw,row_label_full,"6. Gốp vốn, đầu tư dài hạn > - Phân tích giá trị đầu tư theo loại hình đầu tư",31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,719.600,719.600,719600.0,719600.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(64.918),(64.918),-64918.0,-64918.0
Tổng cộng,Tổng cộng,Tổng cộng,654.682,654.682,654682.0,654682.0
