row_label_raw,row_label_full,3.1. Tiền gửi tại các TCTD khác,31/12/2020,01/01/2020,numeric__31/12/2020,numeric__01/01/2020
Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,Tiền gửi không kỳ hạn,1.714.570,6.259.490,1714570.0,6259490.0
Bằng VND,Bằng VND,Bằng VND,1.436.648,5.966.569,1436648.0,5966569.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,277.922,292.921,277922.0,292921.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,10.299.707,8.130.948,10299707.0,8130948.0
Bằng VND,Bằng VND,Bằng VND,6.304.272,6.115.158,6304272.0,6115158.0
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,3.995.435,2.015.790,3995435.0,2015790.0
Cộng,Cộng,Cộng,12.014.277,14.390.438,12014277.0,14390438.0
3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,3.2. Cho vay các tổ chức tin dụng khác,31/12/2020,01/01/2020,,
Cho vay ngắn hạn (*),3.2. Cho vay các tổ chức tin dụng khác > Cho vay ngắn hạn (*),Cho vay ngắn hạn (*),100.000,884.208,100000.0,884208.0
Bằng VND,3.2. Cho vay các tổ chức tin dụng khác > Bằng VND,Bằng VND,100.000,640.923,100000.0,640923.0
Bằng ngoại hối,3.2. Cho vay các tổ chức tin dụng khác > Bằng ngoại hối,Bằng ngoại hối,-,243.285,,243285.0
Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,Dự phòng rủi ro cho vay các TCTD khác,-,-,,
Cộng,Dự phòng rủi ro cho vay các TCTD khác > Cộng,Cộng,100.000,884.208,100000.0,884208.0
Tổng cộng,Dự phòng rủi ro cho vay các TCTD khác > Tổng cộng,Tổng cộng,12.114.277,15.274.646,12114277.0,15274646.0
(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau:,Số tiền,Ngày đáo hạn,,
Bằng VND,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Bằng VND,Bằng VND,100.000,,100000.0,
Cộng ty Tài chính cổ phần Tín Việt,(*) Chi tiết các khoản cho vay các tổ chức tin dụng như sau: > Cộng ty Tài chính cổ phần Tín Việt,Cộng ty Tài chính cổ phần Tín Việt,100.000,07/01/2021,100000.0,
Bằng ngoại hối,Bằng ngoại hối,Bằng ngoại hối,-,,,
Cộng,Bằng ngoại hối > Cộng,Cộng,100.000,,100000.0,
"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác","Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác",31/12/2020,01/01/2020,,
- Nợ đủ tiêu chuẩn,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > - Nợ đủ tiêu chuẩn",- Nợ đủ tiêu chuẩn,12.114.277,15.274.646,12114277.0,15274646.0
Tổng cộng,"Phân tích chất lượng dư nợ cho vay, tiền gửi các TCTD khác > Tổng cộng",Tổng cộng,12.114.277,15.274.646,12114277.0,15274646.0
