row_label_raw,row_label_full,col_0,Dự phòng chung,Dự phòng cụ thể,numeric__Dự phòng chung,numeric__Dự phòng cụ thể
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,267.297,125.285,267297.0,125285.0
Dự phòng rủi ro trích lập/ hoàn nhập trong năm,Năm trước > Dự phòng rủi ro trích lập/ hoàn nhập trong năm,Dự phòng rủi ro trích lập/ hoàn nhập trong năm,11.613,61.185,11613.0,61185.0
Sử dụng dự phòng rủi ro tín dụng trong năm,Năm trước > Sử dụng dự phòng rủi ro tín dụng trong năm,Sử dụng dự phòng rủi ro tín dụng trong năm,-,(38.204),,-38204.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,278.910,148.266,278910.0,148266.0
Chỉ tiết số dư dự phòng cuối năm,Chỉ tiết số dư dự phòng cuối năm,Chỉ tiết số dư dự phòng cuối năm,31/12/2020,01/01/2020,,
Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,Dự phòng chung tin dụng khác đối với các TCTD trong nước,-,-,,
Dự phòng rủi ro cho vay khách hàng,Dự phòng chung tin dụng khác đối với các TCTD trong nước > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,458.305,427.176,458305.0,427176.0
+ Dự phòng chung,Dự phòng chung tin dụng khác đối với các TCTD trong nước > + Dự phòng chung,+ Dự phòng chung,295.615,278.910,295615.0,278910.0
+ Dự phòng cụ thể,Dự phòng chung tin dụng khác đối với các TCTD trong nước > + Dự phòng cụ thể,+ Dự phòng cụ thể,162.690,148.266,162690.0,148266.0
Cộng,Dự phòng chung tin dụng khác đối với các TCTD trong nước > Cộng,Cộng,458.305,427.176,458305.0,427176.0
5. Chứng khoán đầu tư,5. Chứng khoán đầu tư,5. Chứng khoán đầu tư,31/12/2020,01/01/2020,,
5.1. Chứng khoán đầu tư sẵn sàng để bản,5.1. Chứng khoán đầu tư sẵn sàng để bản,5.1. Chứng khoán đầu tư sẵn sàng để bản,5.1. Chứng khoán đầu tư sẵn sàng để bản,5.1. Chứng khoán đầu tư sẵn sàng để bản,,
Chứng khoán Nợ,5.1. Chứng khoán đầu tư sẵn sàng để bản > Chứng khoán Nợ,Chứng khoán Nợ,7.656.115,6.913.703,7656115.0,6913703.0
- Trải phiếu Chính phủ,5.1. Chứng khoán đầu tư sẵn sàng để bản > - Trải phiếu Chính phủ,- Trải phiếu Chính phủ,7.028.515,5.697.451,7028515.0,5697451.0
- Chứng khoán do các TCTD khác trong nước phát hành,5.1. Chứng khoán đầu tư sẵn sàng để bản > - Chứng khoán do các TCTD khác trong nước phát hành,- Chứng khoán do các TCTD khác trong nước phát hành,627.600,1.216.252,627600.0,1216252.0
Cộng,5.1. Chứng khoán đầu tư sẵn sàng để bản > Cộng,Cộng,7.656.115,6.913.703,7656115.0,6913703.0
5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn,,
- Chứng khoán Nợ do các TCKT trong nước phát hành (*),5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Chứng khoán Nợ do các TCKT trong nước phát hành (*),- Chứng khoán Nợ do các TCKT trong nước phát hành (*),5.866.923,6.366.102,5866923.0,6366102.0
- Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > - Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,- Dự phòng rủi ro chứng khoán đầu tư giữ đến ngày đáo hạn,(227.518),(84.287),-227518.0,-84287.0
Cộng,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Cộng,Cộng,5.639.405,6.281.815,5639405.0,6281815.0
Tổng cộng,5.2. Chứng khoán đầu tư giữ đến ngày đáo hạn > Tổng cộng,Tổng cộng,13.295.520,13.195.518,13295520.0,13195518.0
