row_label_raw,row_label_full,col_0,Giá trị ghi số (đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi số (đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi số (đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi số (đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,87.233.693.082,20.000.000.000,87233693082.0,20000000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,-,600.000.000,,600000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,87.233.693.082,20.600.000.000,87233693082.0,20600000000.0
