row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,"Máy móc, thiết bị",Phương tiện vận tải,Trang thiết bị văn phòng,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa và vật kiến trúc,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Trang thiết bị văn phòng,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.183.016.984.797,579.264.380.274,143.580.288.952,10.144.168.673,1.916.005.822.696,1183016984797.0,579264380274.0,143580288952.0,10144168673.0,1916005822696.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,2.188.011.275,43.952.539.310,14.091.741.844,1.922.299.000,62.154.591.429,2188011275.0,43952539310.0,14091741844.0,1922299000.0,62154591429.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,684.247.171.953,514.595.037.785,10.899.976.000,4.981.629.078,1.214.723.814.816,684247171953.0,514595037785.0,10899976000.0,4981629078.0,1214723814816.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.921.120.032),(4.368.444.282),(849.027.834),(9.138.592.148),,-3921120032.0,-4368444282.0,-849027834.0,-9138592148.0
Giảm khác (*),Nguyên giá: > Giảm khác (*),Giảm khác (*),(57.238.794.237),(73.451.141.906),(9.617.604.754),(821.337.354),(141.128.878.251),-57238794237.0,-73451141906.0,-9617604754.0,-821337354.0,-141128878251.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.812.213.373.788,1.060.439.695.431,154.585.957.760,15.377.731.563,3.042.616.758.542,1812213373788.0,1060439695431.0,154585957760.0,15377731563.0,3042616758542.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,19.254.782.732,96.519.810.175,44.883.211.032,4.451.743.124,165.109.547.063,19254782732.0,96519810175.0,44883211032.0,4451743124.0,165109547063.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,366.023.624.131,323.910.968.739,81.231.703.444,8.950.858.101,780.117.154.415,366023624131.0,323910968739.0,81231703444.0,8950858101.0,780117154415.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,54.088.611.157,44.211.490.663,11.712.424.098,618.712.967,110.631.238.885,54088611157.0,44211490663.0,11712424098.0,618712967.0,110631238885.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",,(1.699.393.637),(321.319.958),(849.027.834),(2.869.741.429),,-1699393637.0,-321319958.0,-849027834.0,-2869741429.0
Giảm khác (*),Giá trị khấu hao lũy kế: > Giảm khác (*),Giảm khác (*),(15.749.678.981),(27.215.592.343),(4.092.303.810),(579.341.597),(47.636.916.731),-15749678981.0,-27215592343.0,-4092303810.0,-579341597.0,-47636916731.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,404.362.556.307,339.207.473.422,88.530.503.774,8.141.201.637,840.241.735.140,404362556307.0,339207473422.0,88530503774.0,8141201637.0,840241735140.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,816.993.360.666,255.353.411.535,62.348.585.508,1.193.310.572,1.135.888.668.281,816993360666.0,255353411535.0,62348585508.0,1193310572.0,1135888668281.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.407.850.817.481,721.232.222.009,66.055.453.986,7.236.529.926,2.202.375.023.402,1407850817481.0,721232222009.0,66055453986.0,7236529926.0,2202375023402.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Tài sản sử dụng để cẩm cố/thẻ chấp (**),Trong đó: > Tài sản sử dụng để cẩm cố/thẻ chấp (**),Tài sản sử dụng để cẩm cố/thẻ chấp (**),472.823.271.409,339.687.757.270,3.709.619.959,164.550.000,816.385.198.639,472823271409.0,339687757270.0,3709619959.0,164550000.0,816385198639.0
