row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Ngày 31 tháng 12năm 2017 > 840.978.951.393,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2018 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"Đơn vị tính: VNDLãi suấtnăm > 8% - 12,23%",numeric__Ngày 31 tháng 12năm 2017 > 840.978.951.393,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối trong giai đoạn từ tháng 1 năm 2018 đến tháng 1 năm 2023. Lãi vay trả hàng tháng.,"numeric__Đơn vị tính: VNDLãi suấtnăm > 8% - 12,23%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,840.978.951.393,,,840978951393.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,108.591.278.859732.387.672.534,,,1.0859127885973238e+23,,
