row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn > Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),Vay ngắn hạn ngân hàng(Thuyết minh số 21.1),1.600.773.159.800,1.600.773.159.800,4.537.943.776.218,(4.035.511.852.078),2.103.205.083.940,2.103.205.083.940,1600773159800.0,1600773159800.0,4537943776218.0,-4035511852078.0,2103205083940.0,2103205083940.0
Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 21.2),Vay dài hạn đến hạn trả(Thuyết minh số 21.2),99.599.114.368,99.599.114.368,118.558.400.630,(109.566.236.139),108.591.278.859,108.591.278.859,99599114368.0,99599114368.0,118558400630.0,-109566236139.0,108591278859.0,108591278859.0
Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Vay ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),Nợ thuê tài chính dài hạn đến hạn trả(Thuyết minh số 21.3),57.822.262.773,57.822.262.773,87.874.126.856,(64.439.715.920),81.256.673.709,81.256.673.709,57822262773.0,57822262773.0,87874126856.0,-64439715920.0,81256673709.0,81256673709.0
Vay đối tượng khác,Vay ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,710.000.000,710.000.000,751.000.000,(710.000.000),751.000.000,751.000.000,710000000.0,710000000.0,751000000.0,-710000000.0,751000000.0,751000000.0
,,,1.758.904.536.941,1.758.904.536.941,4.745.127.303.704,(4.210.227.804.137),2.293.804.036.508,2.293.804.036.508,1758904536941.0,1758904536941.0,4745127303704.0,-4210227804137.0,2293804036508.0,2293804036508.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 21.2),Vay dài hạn > Vay ngân hàng(Thuyết minh số 21.2),Vay ngân hàng(Thuyết minh số 21.2),428.951.383.350,428.951.383.350,429.398.039.864,(125.961.750.680),732.387.672.534,732.387.672.534,428951383350.0,428951383350.0,429398039864.0,-125961750680.0,732387672534.0,732387672534.0
Nợ thuê tài chính(Thuyết minh số 21.3),Vay dài hạn > Nợ thuê tài chính(Thuyết minh số 21.3),Nợ thuê tài chính(Thuyết minh số 21.3),126.206.367.956,126.206.367.956,192.098.567.591,(131.390.323.969),186.914.611.578,186.914.611.578,126206367956.0,126206367956.0,192098567591.0,-131390323969.0,186914611578.0,186914611578.0
Vay dài hạn từ quỹ Đầu tư và Phát triển UBNDtỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn > Vay dài hạn từ quỹ Đầu tư và Phát triển UBNDtỉnh Bắc Ninh(Thuyết minh số 21.4),Vay dài hạn từ quỹ Đầu tư và Phát triển UBNDtỉnh Bắc Ninh(Thuyết minh số 21.4),-,-,94.000.000.000,-,94.000.000.000,94.000.000.000,,,94000000000.0,,94000000000.0,94000000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,555.157.751.306,555.157.751.306,715.496.607.455,(257.352.074.649),1.013.302.284.112,1.013.302.284.112,555157751306.0,555157751306.0,715496607455.0,-257352074649.0,1013302284112.0,1013302284112.0
