row_label_raw,row_label_full,col_0,Đã được trình bày trước đây,Trình bày lại,Được trình bày lại,numeric__Đã được trình bày trước đây,numeric__Trình bày lại,numeric__Được trình bày lại
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,5.993,(953),5.040,5993.0,-953.0,5040.0
Lãi suy giảm trên cổ phiếu,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,5.993,(953),5.040,5993.0,-953.0,5040.0
