row_label_raw,row_label_full,col_0,Máy móc và thiết bị,Phương tiện vận tải,Đơn vị tính: VND Tổng cộng,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,353.381.346.074,17.447.040.000,370.828.386.074,353381346074.0,17447040000.0,370828386074.0
Thuê thêm trong năm,Nguyên giả: > Thuê thêm trong năm,Thuê thêm trong năm,125.696.902.860,4.962.150.000,130.389.052.860,125696902860.0,4962150000.0,130389052860.0
Giảm khác (*),Nguyên giả: > Giảm khác (*),Giảm khác (*),(57.090.099.800),-,(57.090.099.800),-57090099800.0,,-57090099800.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,421.988.149.134,22.139.190.000,444.127.339.134,421988149134.0,22139190000.0,444127339134.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,96.573.333.101,9.430.105.617,106.003.438.718,96573333101.0,9430105617.0,106003438718.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,24.341.422.303,4.591.171.022,28.932.593.325,24341422303.0,4591171022.0,28932593325.0
Giảm khác (*),Giá trị khấu hao lũy kế: > Giảm khác (*),Giảm khác (*),(16.987.115.504),-,(16.987.115.504),-16987115504.0,,-16987115504.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,103.927.639.900,14.021.276.639,117.948.916.539,103927639900.0,14021276639.0,117948916539.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,256.808.012.973,8.016.934.383,264.824.947.356,256808012973.0,8016934383.0,264824947356.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,318.060.509.234,8.117.913.361,326.178.422.595,318060509234.0,8117913361.0,326178422595.0
