row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,5.959.707.636.582,6.396.914.477.362,5959707636582.0,6396914477362.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,4.289.808.390.844,5.481.350.517.820,4289808390844.0,5481350517820.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",750.121.178.746,884.866.743.814,750121178746.0,884866743814.0
Doanh thu chuyển nhượng bất động sản (*),Trong đó: > Doanh thu chuyển nhượng bất động sản (*),Doanh thu chuyển nhượng bất động sản (*),800.005.573.130,-,800005573130.0,
Doanh thu dịch vụ xây lắp (*),Trong đó: > Doanh thu dịch vụ xây lắp (*),Doanh thu dịch vụ xây lắp (*),119.772.493.862,30.697.215.728,119772493862.0,30697215728.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(104.242.501.087),(140.991.882.568),-104242501087.0,-140991882568.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(98.835.201.894),(131.748.103.895),-98835201894.0,-131748103895.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(70.769.870),(7.190.618),-70769870.0,-7190618.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(5.336.529.323),(9.236.588.055),-5336529323.0,-9236588055.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,5.855.465.135.495,6.255.922.594.794,5855465135495.0,6255922594794.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,4.185.565.889.757,5.340.358.635.252,4185565889757.0,5340358635252.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",750.121.178.746,884.866.743.814,750121178746.0,884866743814.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,800.005.573.130,-,800005573130.0,
Doanh thu dịch vụ xây lắp,Trong đó: > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,119.772.493.862,30.697.215.728,119772493862.0,30697215728.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên thử ba,Trong đó: > Doanh thu đối với bên thử ba,Doanh thu đối với bên thử ba,5.855.465.135.495,6.220.237.587.500,5855465135495.0,6220237587500.0
Doanh thu đối với bên liên quan,Trong đó: > Doanh thu đối với bên liên quan,Doanh thu đối với bên liên quan,-,35.685.007.294,,35685007294.0
