row_label_raw,row_label_full,Năm trước: > Số đầu năm > - Lợi nhuận trong năm,Vốn cổ phần đã phát hành > Năm trước: > 627.419.230.000 > -,Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,Quỹ đầu tư phát triển > Năm trước: > 679.130.704.305 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước: > 221.464.609.705 > 451.218.626.346,Đơn vị tính: VND Tống cộng > Năm trước: > 1.946.447.536.231 > 451.218.626.346,numeric__Vốn cổ phần đã phát hành > Năm trước: > 627.419.230.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước: > 418.432.992.221 > -,numeric__Quỹ đầu tư phát triển > Năm trước: > 679.130.704.305 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước: > 221.464.609.705 > 451.218.626.346,numeric__Đơn vị tính: VND Tống cộng > Năm trước: > 1.946.447.536.231 > 451.218.626.346
- Trích lập các quỹ,- Trích lập các quỹ,- Trích lập các quỹ,-,-,73.984.258.705,(73.984.258.705),-,,,73984258705.0,-73984258705.0,
"- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi","- Trích lập quỹ khen thưởng, phúc lợi",-,-,-,(21.999.991.000),(21.999.991.000),,,,-21999991000.0,-21999991000.0
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,125.480.360.000,-,-,(125.480.360.000),-,125480360000.0,,,-125480360000.0,
- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,- Chia cổ tức bằng tiền,-,-,-,(36.524.267.075),(36.524.267.075),,,,-36524267075.0,-36524267075.0
Số cuối năm,Số cuối năm,Số cuối năm,752.899.590.000,418.432.992.221,753.114.963.010,414.694.359.271,2.339.141.904.502,752899590000.0,418432992221.0,753114963010.0,414694359271.0,2339141904502.0
Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,Năm nay:,,,,,
Số đầu năm,Năm nay: > Số đầu năm,Số đầu năm,752.899.590.000,418.432.992.221,753.114.963.010,414.694.359.271,2.339.141.904.502,752899590000.0,418432992221.0,753114963010.0,414694359271.0,2339141904502.0
- Lợi nhuận trong năm,Năm nay: > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,200.105.222.090,200.105.222.090,,,,200105222090.0,200105222090.0
- Trích lập các quỹ (*),Năm nay: > - Trích lập các quỹ (*),- Trích lập các quỹ (*),-,-,304.459.728.162,(304.459.728.162),-,,,304459728162.0,-304459728162.0,
"- Trích lập quỹ khen thưởng, phúc lợi (*)","Năm nay: > - Trích lập quỹ khen thưởng, phúc lợi (*)","- Trích lập quỹ khen thưởng, phúc lợi (*)",-,-,-,(33.828.858.684),(33.828.858.684),,,,-33828858684.0,-33828858684.0
- Chia cổ tức bằng cổ phiếu (*),Năm nay: > - Chia cổ tức bằng cổ phiếu (*),- Chia cổ tức bằng cổ phiếu (*),75.285.060.000,-,-,(75.285.060.000),-,75285060000.0,,,-75285060000.0,
- Thuế thu nhập cá nhân tử chia cổ tức,Năm nay: > - Thuế thu nhập cá nhân tử chia cổ tức,- Thuế thu nhập cá nhân tử chia cổ tức,-,-,-,(1.120.712.425),(1.120.712.425),,,,-1120712425.0,-1120712425.0
- Giảm khác,Năm nay: > - Giảm khác,- Giảm khác,-,-,-,(1.680.950.246),(1.680.950.246),,,,-1680950246.0,-1680950246.0
Số cuối năm,Năm nay: > Số cuối năm,Số cuối năm,828.184.650.000,418.432.992.221,1.057.574.691.172,198.424.271.844,2.502.616.605.237,828184650000.0,418432992221.0,1057574691172.0,198424271844.0,2502616605237.0
