row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnChế biển Thục phẩm Dabaco,Mối quan hệ > Công ty liên kết,Diễn giải > Phân bổ chi phí sử dụng tài sảnLãi vay phân bổTiền nhận trong năm,Năm nay > 2.328.058.040 > 817.147.156 > 8.994.953.760,Đơn vị tính: VNDNăm trước > -,numeric__Mối quan hệ > Công ty liên kết,numeric__Diễn giải > Phân bổ chi phí sử dụng tài sảnLãi vay phân bổTiền nhận trong năm,numeric__Năm nay > 2.328.058.040 > 817.147.156 > 8.994.953.760,numeric__Đơn vị tính: VNDNăm trước > -
Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty liên kết,Bán hàngMua dịch vụGớp vốn bằng công nợ,-,35.685.007.2948.189.093.224,,,,3.568500729481891e+20
Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty Cổ phầnTranseco,Công ty liên kết,Bán hàngMua dịch vụGớp vốn bằng công nợ,-,20.000.000.000,,,,20000000000.0
