row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị (đồng thời là số có khả năng trả nợ) > Số đầu năm
Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,Phải trả nhà cung cấp nguyên vật liệu nước ngoài,42.070.267.782,32.542.190.786,42070267782.0,32542190786.0
- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,- Marubeni Grain & Oilseeds Trading Asia,18.064.321.600,23.710.995.000,18064321600.0,23710995000.0
- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,- Enerfo Pte.Ltd,19.870.390.000,-,19870390000.0,
- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,- Các nhà cung cấp nước ngoài khác,4.135.556.182,8.831.195.786,4135556182.0,8831195786.0
Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,Phải trả nhà cung cấp trong nước,522.063.493.819,277.734.539.901,522063493819.0,277734539901.0
- Công ty Cổ phần Xây dựng số 1Vinaconex,- Công ty Cổ phần Xây dựng số 1Vinaconex,- Công ty Cổ phần Xây dựng số 1Vinaconex,14.491.793.278,-,14491793278.0,
- Công ty TNHH Marine Functional VN,- Công ty TNHH Marine Functional VN,- Công ty TNHH Marine Functional VN,13.285.720.345,-,13285720345.0,
- Công ty Cổ phần Đầu tư Xây dựng GDCHà Nội,- Công ty Cổ phần Đầu tư Xây dựng GDCHà Nội,- Công ty Cổ phần Đầu tư Xây dựng GDCHà Nội,12.790.758.071,-,12790758071.0,
- Công ty TNHH Tiến Việt - Thái,- Công ty TNHH Tiến Việt - Thái,- Công ty TNHH Tiến Việt - Thái,11.675.503.920,-,11675503920.0,
- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,- Các nhà cung cấp trong nước khác,469.819.718.205,277.734.539.901,469819718205.0,277734539901.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 31),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 31),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 31),-,8.189.093.224,,8189093224.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,564.133.761.601,318.465.823.911,564133761601.0,318465823911.0
