row_label_raw,row_label_full,col_0,Sân xuất và bán thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp,"Sân xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",Điều chỉnh và loại trừ,Tổng cộng,numeric__Sân xuất và bán thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp,"numeric__Sân xuất con giống, chăn nuôi, chế biến thực phẩm và các hoạt động khác",numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bản hàng và cung cấp dịch vụ ra bên ngoài,2.747.295.668.930,861.652.905.752,2.246.516.560.813,-,5.855.465.135.495,2747295668930.0,861652905752.0,2246516560813.0,,5855465135495.0
Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bản hàng và cung cấp dịch vụ cho các bộ phận,1.296.160.777.355,72.138.380.964,3.527.486.623.821,(4.895.785.782.140),-,1296160777355.0,72138380964.0,3527486623821.0,-4895785782140.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,4.043.456.446.285,933.791.286.716,5.774.003.184.634,(4.895.785.782.140),5.855.465.135.495,4043456446285.0,933791286716.0,5774003184634.0,-4895785782140.0,5855465135495.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,172.842.104.117,397.274.345.791,(354.011.906.499),62.695.596.628,278.800.140.037,172842104117.0,397274345791.0,-354011906499.0,62695596628.0,278800140037.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(10.176.265.178),(65.928.682.236),(2.589.970.533),-,(78.694.917.947),-10176265178.0,-65928682236.0,-2589970533.0,,-78694917947.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,162.665.838.939,331.345.663.555,(356.601.877.032),62.695.596.628,200.105.222.090,162665838939.0,331345663555.0,-356601877032.0,62695596628.0,200105222090.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,5.127.934.190.996,425.257.752.024,2.816.725.330.557,(1.380.701.316.363),6.989.215.957.214,5127934190996.0,425257752024.0,2816725330557.0,-1380701316363.0,6989215957214.0
Tải sản bộ phận,Tài sản và nợ phải trả > Tải sản bộ phận,Tải sản bộ phận,5.127.934.190.996,425.257.752.024,2.816.725.330.557,(2.106.755.349.660),6.263.161.923.917,5127934190996.0,425257752024.0,2816725330557.0,-2106755349660.0,6263161923917.0
Tải sản không phân bổ (*),Tài sản và nợ phải trả > Tải sản không phân bổ (*),Tải sản không phân bổ (*),-,-,-,726.054.033.297,726.054.033.297,,,,726054033297.0,726054033297.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,3.717.860.066.205,169.202.253.846,2.885.970.893.337,(2.286.433.861.411),4.486.599.351.977,3717860066205.0,169202253846.0,2885970893337.0,-2286433861411.0,4486599351977.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,3.717.860.066.205,169.202.253.846,2.885.970.893.337,(2.286.433.861.411),4.486.599.351.977,3717860066205.0,169202253846.0,2885970893337.0,-2286433861411.0,4486599351977.0
