row_label_raw,row_label_full,Công ty cho thuê > Các khoản nợ thuệtái chính,Ngày 31 tháng 12năm 2017 > 268.171.285.287,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối tronggiai đoạn từ tháng 1 năm 2018đến tháng 11 năm 2022. Lãi vaytrả hàng tháng.,"Đơn vị tính: VND > Lãi suất năm > 8,5%-10,5%",numeric__Ngày 31 tháng 12năm 2017 > 268.171.285.287,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối tronggiai đoạn từ tháng 1 năm 2018đến tháng 11 năm 2022. Lãi vaytrả hàng tháng.,"numeric__Đơn vị tính: VND > Lãi suất năm > 8,5%-10,5%"
Tổng cộng,Tổng cộng,Tổng cộng,268.171.285.287,,,268171285287.0,,
Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,Trong đó:Nợ dài hạnđến hạn trảNợ dài hạn,81.256.673.709186.914.611.578,,,8.125667370918692e+22,,
