row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính:VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính:VND > Năm trước
Chi phí lãi vay,Chi phí lãi vay,Chi phí lãi vay,119.958.086.103,110.901.027.505,119958086103.0,110901027505.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,783.951,1.531.876.518,783951.0,1531876518.0
Phí mở thư tin dụng,Phí mở thư tin dụng,Phí mở thư tin dụng,-,363.018.697,,363018697.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,119.958.870.054,112.795.922.720,119958870054.0,112795922720.0
