row_label_raw,row_label_full,Trên 1 năm đến 5 năm,Tại ngày 31.12.2025VND > 40.166.357.445,Phát sinh trong năm > TăngVND > 32.463.886.807,Phát sinh trong năm > GiảmVND > 5.319.847.137,Phát sinh trong năm > Vay dài hạn đếnhạn trả(*)VND > 19.498.488.678,Tại ngày01.01.2025VND > 32.520.806.453,numeric__Tại ngày 31.12.2025VND > 40.166.357.445,numeric__Phát sinh trong năm > TăngVND > 32.463.886.807,numeric__Phát sinh trong năm > GiảmVND > 5.319.847.137,numeric__Phát sinh trong năm > Vay dài hạn đếnhạn trả(*)VND > 19.498.488.678,numeric__Tại ngày01.01.2025VND > 32.520.806.453
Bên khác,Bên khác,Bên khác,40.166.357.445,32.463.886.807,5.319.847.137,19.498.488.678,32.520.806.453,40166357445.0,32463886807.0,5319847137.0,19498488678.0,32520806453.0
Ngân hàng TMCP Tiên Phong - CNThắng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CNThắng Long Hà Nội,Ngân hàng TMCP Tiên Phong - CNThắng Long Hà Nội,6.856.038.738,-,-,4.435.132.564,11.291.171.302,6856038738.0,,,4435132564.0,11291171302.0
Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam - CN Nam Hà Nội,Ngân hàng TMCP Đầu tư và Pháttriển Việt Nam - CN Nam Hà Nội,6.335.000.000,-,-,3.780.000.000,10.115.000.000,6335000000.0,,,3780000000.0,10115000000.0
Ngân hàng TMCP Công thương ViệtNam - CN Đà Nẵng,Ngân hàng TMCP Công thương ViệtNam - CN Đà Nẵng,Ngân hàng TMCP Công thương ViệtNam - CN Đà Nẵng,2.209.834.978,-,-,1.562.526.176,3.772.361.154,2209834978.0,,,1562526176.0,3772361154.0
Công ty TNHH Một thành viên Chothuê Tài chính Ngân hàng Á Châu -Chi nhánh Đà Nẵng,Công ty TNHH Một thành viên Chothuê Tài chính Ngân hàng Á Châu -Chi nhánh Đà Nẵng,Công ty TNHH Một thành viên Chothuê Tài chính Ngân hàng Á Châu -Chi nhánh Đà Nẵng,2.380.686.850,3.728.900.000,663.937.750,684.275.400,-,2380686850.0,3728900000.0,663937750.0,684275400.0,
Công ty TNHH Cho thuê Tài chínhQuốc tế Việt Nam,Công ty TNHH Cho thuê Tài chínhQuốc tế Việt Nam,Công ty TNHH Cho thuê Tài chínhQuốc tế Việt Nam,15.295.316.505,23.746.286.807,4.279.523.762,4.171.446.540,-,15295316505.0,23746286807.0,4279523762.0,4171446540.0,
Công ty Cho thuê Tài chính TNHHBIDV - Sumi Trust Chi nhánh ĐàNăng,Công ty Cho thuê Tài chính TNHHBIDV - Sumi Trust Chi nhánh ĐàNăng,Công ty Cho thuê Tài chính TNHHBIDV - Sumi Trust Chi nhánh ĐàNăng,2.488.421.165,-,-,1.722.477.972,4.210.899.137,2488421165.0,,,1722477972.0,4210899137.0
Công ty Cho thuê Tài chính TNHHMTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHHMTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHHMTV Quốc tế Chailease,4.601.059.209,4.988.700.000,376.385.625,3.142.630.026,3.131.374.860,4601059209.0,4988700000.0,376385625.0,3142630026.0,3131374860.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,17.439.002.860.110,-,12.660.000.000,427.866.488.000,17.879.529.348.110,17439002860110.0,,12660000000.0,427866488000.0,17879529348110.0
Bên khác,Bên khác,Bên khác,17.439.002.860.110,-,12.660.000.000,427.866.488.000,17.879.529.348.110,17439002860110.0,,12660000000.0,427866488000.0,17879529348110.0
Ngân hàng TMCP Công thương ViệtNam - CN Hà Nội,Ngân hàng TMCP Công thương ViệtNam - CN Hà Nội,Ngân hàng TMCP Công thương ViệtNam - CN Hà Nội,16.665.427.727.777,-,12.660.000.000,358.787.488.000,17.036.875.215.777,16665427727777.0,,12660000000.0,358787488000.0,17036875215777.0
Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,773.575.132.333,-,-,69.079.000.000,842.654.132.333,773575132333.0,,,69079000000.0,842654132333.0
Cộng,Cộng,Cộng,17.479.169.217.555,32.463.886.807,17.979.847.137,447.364.976.678,17.912.050.154.563,17479169217555.0,32463886807.0,17979847137.0,447364976678.0,17912050154563.0
