row_label_raw,row_label_full,col_0,Thu phí trạm BOT VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Duy tu bảo dưỡng cầu, đường VND",Hoạt động khác VND,Tổng cộng VND,numeric__Thu phí trạm BOT VND,numeric__Hoạt động xây lắp VND,numeric__Dịch vụ trung chuyển VND,"numeric__Duy tu bảo dưỡng cầu, đường VND",numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,1.909.160.130.563,1.151.845.561.043,20.325.723.896,65.507.830.764,161.412.345.011,3.308.251.591.277,1909160130563.0,1151845561043.0,20325723896.0,65507830764.0,161412345011.0,3308251591277.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,1.909.160.130.563,1.151.845.561.043,20.325.723.896,65.507.830.764,161.412.345.011,3.308.251.591.277,1909160130563.0,1151845561043.0,20325723896.0,65507830764.0,161412345011.0,3308251591277.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.251.933.101.467,40.611.332.480,5.113.564.918,30.763.606.958,12.780.786.519,1.341.202.392.342(71.738.443.064),1251933101467.0,40611332480.0,5113564918.0,30763606958.0,12780786519.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,1.269.463.949.278,,,,,,1269463949278.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,47.991.503.229(814.327.147.479),,,,,,
Doanh thu hoạt động tài chính,Lợi nhuận từ hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,57.827.888.610,,,,,,57827888610.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,23.625.648.701(6.014.750.991),,,,,,
"Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Chi phí tài chính > Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",,,,,,(88.971.617.551),,,,,,-88971617551.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,,,5.509.354.268,,,,,,5509354268.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,,,495.104.828.065,,,,,,495104828065.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,(258.541.184.587),,,,,,-258541184587.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,(348.937.233.697),,,,,,-348937233697.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,,,,,
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,,,,,,,
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
