row_label_raw,row_label_full,col_0,Thu phí trạm BOT VND,Hoạt động xây lắp VND,Dịch vụ trung chuyển VND,"Duy tu bảo dưỡng cầu, đường VND",Hoạt động khác VND,Tổng cộng VND,numeric__Thu phí trạm BOT VND,numeric__Hoạt động xây lắp VND,numeric__Dịch vụ trung chuyển VND,"numeric__Duy tu bảo dưỡng cầu, đường VND",numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,2.178.643.136.112,1.318.850.022.126,21.506.544.378,120.166.035.481,162.205.857.316,3.801.371.595.413,2178643136112.0,1318850022126.0,21506544378.0,120166035481.0,162205857316.0,3801371595413.0
Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần bán hàng và cung cấp dịch vụ,2.178.643.136.112,1.318.850.022.126,21.506.544.378,120.166.035.481,162.205.857.316,3.801.371.595.413,2178643136112.0,1318850022126.0,21506544378.0,120166035481.0,162205857316.0,3801371595413.0
Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,1.472.093.396.141,79.463.377.812,7.222.369.353,31.589.074.245,25.547.063.626,1.615.915.281.177(78.323.135.085),1472093396141.0,79463377812.0,7222369353.0,31589074245.0,25547063626.0,
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,1.537.592.146.092,,,,,,1537592146092.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,58.270.834.182,,,,,,58270834182.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,(917.095.852.250),,,,,,-917095852250.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,90.586.611.012,,,,,,90586611012.0
"Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh","Phần lãi hoặc lỗ trong công ty liên kết, liên doanh",,,,,,5.216.378.739,,,,,,5216378739.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,,(1.168.273.414),,,,,,-1168273414.0
Chi phí khác,Chi phí khác,Chi phí khác,,,,,,(108.636.155.078),,,,,,-108636155078.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,6.417.860.834,,,,,,6417860834.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,671.183.550.117,,,,,,671183550117.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,(74.724.430.391),,,,,,-74724430391.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,,,,,,(430.625.255.531),,,,,,-430625255531.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,,,,,,,,,,,,
