row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"Mối quan hệ > Công ty con của Công ty mẹ, Công ty có liên quan của Thành viên HĐQT Trần Chủng, Thành viên HĐQT Nguyễn Quang Huy, Phó TGD Nguyễn Văn Ăn","Nội dung nghiệp vụ > Bán hàng hóa, dịch vụ Mua hàng hóa, dịch vụ",Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND > 86.437.510.11475.774.596.984,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND > 599.572.39289.003.826.675,"numeric__Mối quan hệ > Công ty con của Công ty mẹ, Công ty có liên quan của Thành viên HĐQT Trần Chủng, Thành viên HĐQT Nguyễn Quang Huy, Phó TGD Nguyễn Văn Ăn","numeric__Nội dung nghiệp vụ > Bán hàng hóa, dịch vụ Mua hàng hóa, dịch vụ",numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND > 86.437.510.11475.774.596.984,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND > 599.572.39289.003.826.675
Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Công ty Cổ phần BOT Bắc Giang - Lạng Sơn - Hữu Nghị,Công ty liên kết,Thu lại tiền góp vốn,5.688.000.000,10.116.000.000,,,5688000000.0,10116000000.0
Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,Công ty Cổ phần Đầu tư BOT Đèo Cả Khánh Hòa,"Công ty liên kết, công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Hữu Hùng, TGD kiểm người đại diện theo pháp luật Ngô Trường Nam, Trường Ban kiểm soát Nguyễn Minh Giang, Kiểm soát viên Phan Thị Mai","Bán hàng hóa, dịch vụ Nhận cổ tức",2.599.989.8148.000.000.000,2.295.537.037-,,,2.5999898148e+19,
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty mẹ,"Bán hàng hóa, dịch vụ Mua hàng hóa, dịch vụ Nhận chuyển nhượng cổ phần",701.265.429.874153.024.421.454-,377.053.428.86468.414.576.800517.900.000.000,,,,3.7705342886468414e+34
Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,Công ty Cổ phần An ninh Đèo Cả,"Công ty con của Công ty mẹ, Công ty có liên quan của Trường Ban kiểm soát Nguyễn Minh Giang","Mua hàng hóa, dịch vụ",32.990.490.535,29.126.281.830,,,32990490535.0,29126281830.0
