row_label_raw,row_label_full,col_0,col_1,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__col_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,,2025VND,2024VND,,,
Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,Thủ lao Hội đồng quản trị và Ban kiểm soát,2.028.000.000,2.088.000.000,,2028000000.0,2088000000.0
Hồ Minh Hoàng,Hồ Minh Hoàng,Hồ Minh Hoàng,Chủ tịch HĐQT,360.000.000,360.000.000,,360000000.0,360000000.0
Nguyễn Tấn Đông,Nguyễn Tấn Đông,Nguyễn Tấn Đông,Phó Chủ tịch HĐQT,240.000.000,240.000.000,,240000000.0,240000000.0
Nguyễn Hữu Hùng,Nguyễn Hữu Hùng,Nguyễn Hữu Hùng,Phó Chủ tịch HĐQT,180.000.000,240.000.000,,180000000.0,240000000.0
Võ Thuy Linh,Võ Thuy Linh,Võ Thuy Linh,Thành viên HĐQT,180.000.000,180.000.000,,180000000.0,180000000.0
Trần Chủng,Trần Chủng,Trần Chủng,Thành viên HĐQT,180.000.000,180.000.000,,180000000.0,180000000.0
Nguyễn Quang Huy,Nguyễn Quang Huy,Nguyễn Quang Huy,Thành viên HĐQT,180.000.000,180.000.000,,180000000.0,180000000.0
Hồ Quang Lợi,Hồ Quang Lợi,Hồ Quang Lợi,Thành viên độc lập HĐQT,180.000.000,180.000.000,,180000000.0,180000000.0
Hoàng Văn Hải,Hoàng Văn Hải,Hoàng Văn Hải,Thành viên độc lập HĐQT,180.000.000,180.000.000,,180000000.0,180000000.0
Nguyễn Minh Giang,Nguyễn Minh Giang,Nguyễn Minh Giang,Trường Ban kiểm soát,180.000.000,180.000.000,,180000000.0,180000000.0
Cam Thị Minh Hải,Cam Thị Minh Hải,Cam Thị Minh Hải,Kiểm soát viên,84.000.000,84.000.000,,84000000.0,84000000.0
Phan Thị Mai,Phan Thị Mai,Phan Thị Mai,Kiểm soát viên,84.000.000,84.000.000,,84000000.0,84000000.0
