row_label_raw,row_label_full,col_0,Năm tài chínhkết thúc ngày 31 tháng 12 năm,Năm tài chínhkết thúc ngày 31 tháng 12 năm_1,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm,numeric__Năm tài chínhkết thúc ngày 31 tháng 12 năm_1
,,,2025VND,2024VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,3.801.371.595.413,3.308.251.591.277,3801371595413.0,3308251591277.0
Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,Doanh thu các trạm thu phí BOT,2.178.643.136.112,1.909.160.130.563,2178643136112.0,1909160130563.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,1.318.850.022.126,1.151.845.561.043,1318850022126.0,1151845561043.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",120.166.035.481,65.507.830.764,120166035481.0,65507830764.0
Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,Doanh thu cung cấp dịch vụ trung chuyển,21.506.544.378,20.325.723.896,21506544378.0,20325723896.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,162.205.857.316,161.412.345.011,162205857316.0,161412345011.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,3.801.371.595.413,3.308.251.591.277,3801371595413.0,3308251591277.0
Trong đó doanh thu đối với các bên liên quan,Các khoản giảm trừ doanh thu > Trong đó doanh thu đối với các bên liên quan,Trong đó doanh thu đối với các bên liên quan,852.982.165.931,564.164.078.589,852982165931.0,564164078589.0
Doanh thu xây lắp,Các khoản giảm trừ doanh thu > Doanh thu xây lắp,Doanh thu xây lắp,747.066.705.422,415.390.961.684,747066705422.0,415390961684.0
"Doanh thu duy tu bảo dưỡng hầm, đường","Các khoản giảm trừ doanh thu > Doanh thu duy tu bảo dưỡng hầm, đường","Doanh thu duy tu bảo dưỡng hầm, đường",58.685.787.350,46.846.339.620,58685787350.0,46846339620.0
Doanh thu khác,Các khoản giảm trừ doanh thu > Doanh thu khác,Doanh thu khác,47.229.673.159,101.926.777.285,47229673159.0,101926777285.0
