row_label_raw,row_label_full,col_0,Giá trị số sách > 31.12.2025 > Giá trị VND,Giá trị số sách > 31.12.2025 > Dự phòng VND,Giá trị số sách > 01.01.2025 > Giá trị VND,Giá trị số sách > 01.01.2025 > Dự phòng VND,Giá trị hợp lý > 31.12.2025 > VND,Giá trị hợp lý > 01.01.2025 > VND,numeric__Giá trị số sách > 31.12.2025 > Giá trị VND,numeric__Giá trị số sách > 31.12.2025 > Dự phòng VND,numeric__Giá trị số sách > 01.01.2025 > Giá trị VND,numeric__Giá trị số sách > 01.01.2025 > Dự phòng VND,numeric__Giá trị hợp lý > 31.12.2025 > VND,numeric__Giá trị hợp lý > 01.01.2025 > VND
Phải trả cho người bán (i),Phải trả cho người bán (i),Phải trả cho người bán (i),1.298.045.551.438,-,1.188.379.738.230,-,1.298.045.551.438,1.188.379.738.230,1298045551438.0,,1188379738230.0,,1298045551438.0,1188379738230.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,102.791.223.460,-,4.719.425.163,-,102.791.223.460,4.719.425.163,102791223460.0,,4719425163.0,,102791223460.0,4719425163.0
Vay và nợ (ii),Vay và nợ (ii),Vay và nợ (ii),18.458.989.268.376,-,18.992.754.192.112,-,18.458.989.268.376,18.992.754.192.112,18458989268376.0,,18992754192112.0,,18458989268376.0,18992754192112.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,31.738.474.878,-,27.297.574.185,-,31.738.474.878,27.297.574.185,31738474878.0,,27297574185.0,,31738474878.0,27297574185.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,989.789.964.282,-,1.014.479.387.994,-,989.789.964.282,1.014.479.387.994,989789964282.0,,1014479387994.0,,989789964282.0,1014479387994.0
Cộng,Cộng,Cộng,20.881.354.482.434,-,21.227.630.317.684,-,20.881.354.482.434,21.227.630.317.684,20881354482434.0,,21227630317684.0,,20881354482434.0,21227630317684.0
