row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,VI.1,3.801.371.595.413,3.308.251.591.277,,,3801371595413.0,3308251591277.0
02,02,02,Các khoản giảm trừ doanh thu,,-,-,,,,
10,02 > 10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,3.801.371.595.413,3.308.251.591.277,,,3801371595413.0,3308251591277.0
11,02 > 11,11,Giá vốn hàng bán và cung cấp dịch vụ,VI.2,2.185.456.314.236,1.967.049.198.935,,,2185456314236.0,1967049198935.0
20,02 > 20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,1.615.915.281.177,1.341.202.392.342,,,1615915281177.0,1341202392342.0
21,02 > 21,21,Doanh thu hoạt động tài chính,VI.3,58.270.834.182,47.991.503.229,,,58270834182.0,47991503229.0
22,02 > 22,22,Chi phí tài chính,VI.4,917.095.852.250,814.327.147.479,,,917095852250.0,814327147479.0
23,02 > 23,23,- Trong đó: Chi phí lãi vay,,905.259.434.662,796.572.521.099,,,905259434662.0,796572521099.0
24,02 > 24,24,"Phần lãi trong công ty liên doanh, liên kết",,90.586.611.012,57.827.888.610,,,90586611012.0,57827888610.0
26,02 > 26,26,Chi phí quản lý doanh nghiệp,VI.5,78.323.135.085,71.738.443.064,,,78323135085.0,71738443064.0
30,02 > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,769.353.739.036,560.956.193.638,,,769353739036.0,560956193638.0
31,02 > 31,31,Thu nhập khác,VI.6,5.216.378.739,23.625.648.701,,,5216378739.0,23625648701.0
32,02 > 32,32,Chi phí khác,VI.7,1.168.273.414,6.014.750.991,,,1168273414.0,6014750991.0
40,02 > 40,40,Lợi nhuận khác,,4.048.105.325,17.610.897.710,,,4048105325.0,17610897710.0
50,02 > 50,50,Tổng lợi nhuận kế toán trước thuế,,773.401.844.361,578.567.091.348,,,773401844361.0,578567091348.0
