row_label_raw,row_label_full,col_0,2025VND,01.01.2025VND,numeric__2025VND,numeric__01.01.2025VND
Tài sân có định vô hình,Tài sân có định vô hình,Tài sân có định vô hình,-,313.814.138,,313814138.0
Trái phiếu,Trái phiếu,Trái phiếu,-,2.000.000.000,,2000000000.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,41.341.747.335,9.658.388.481,41341747335.0,9658388481.0
Tài sân có định hữu hình,Tài sân có định hữu hình,Tài sân có định hữu hình,26.583.012.549.137,27.031.312.377.750,26583012549137.0,27031312377750.0
Cộng,Cộng,Cộng,26.624.354.296.472,27.043.284.580.369,26624354296472.0,27043284580369.0
