row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2025VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2024VND
Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Góp vốn,204.473.200.000,7.500.000.000,,,204473200000.0,7500000000.0
Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Đặt cọc góp vốn,248.643.272.861,64.302.099.206,,,248643272861.0,64302099206.0
Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Hoàn trả tiền đặt cọc,102.050.172.067,-,,,102050172067.0,
Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Chi tiền hợp tác kinh doanh,284.800.800.000,-,,,284800800000.0,
Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốcĐồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Hoàn tiền hợp tác kinh doanh,203.283.800.000,-,,,203283800000.0,
Công ty Cổ phần BOTTrung Lương - MỹThuận,Công ty Cổ phần BOTTrung Lương - MỹThuận,Công ty Cổ phần BOTTrung Lương - MỹThuận,"Công ty có liên quan của Chủ tịch HĐQT Hồ Minh Hoàng, Phó Chủ tịch HĐQT Nguyễn Tấn Đông, Thành viên HĐQT Võ Thụy Linh","Bán hàng hóa, dịch vụ",11.750.521.610,7.700.203.509,,,11750521610.0,7700203509.0
Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty có liên quan của PTGD Lê Châu Thắng; Thành viên HĐQT Nguyễn Quang Huy; Phó TGD Trần Văn Chí; Phó TGD Nguyễn Quỳnh Mai; Phó TGD Nguyễn Văn Ân; Phụ trách quản trị kiểm thư ký công ty Trần Tấn Huy.,"Bán hàng hóa, dịch vụ",928.104.334,1.356.909.082,,,928104334.0,1356909082.0
Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty Cổ phần Quản lývà Khai thác Đườngcao tốc Đèo Cả,Công ty có liên quan của PTGD Lê Châu Thắng; Thành viên HĐQT Nguyễn Quang Huy; Phó TGD Trần Văn Chí; Phó TGD Nguyễn Quỳnh Mai; Phó TGD Nguyễn Văn Ân; Phụ trách quản trị kiểm thư ký công ty Trần Tấn Huy.,"Mua hàng hóa, dịch vụ",13.865.025.445,38.099.828.705,,,13865025445.0,38099828705.0
Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,"Công ty liên kết, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Tấn Đông","Bán hàng hóa, dịch vụ",50.000.610.185,175.158.427.705,,,50000610185.0,175158427705.0
Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốcCam Lâm - Vĩnh Hảo,"Công ty liên kết, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Tấn Đông",Chi tiền hợp tác kinh doanh,-,413.773.860.000,,,,413773860000.0
