row_label_raw,row_label_full,Mã số,NGUỒN VỐN (tiếp theo),Thuyết minh,Tại ngày > 31.12.2025 VND,Tại ngày > 01.01.2025 VND,numeric__NGUỒN VỐN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025 VND,numeric__Tại ngày > 01.01.2025 VND
400,400,400,VỐN CHỦ SỞ HỮU,V.24,12.172.577.556.345,10.929.626.950.095,,,12172577556345.0,10929626950095.0
410,410,410,Vốn chủ sở hữu,,7.999.484.683.800,6.921.543.077.550,,,7999484683800.0,6921543077550.0
411,411,411,Vốn góp của chủ sở hữu,,4.974.330.030.000,4.322.555.280.000,,,4974330030000.0,4322555280000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,4.974.330.030.000,4.322.555.280.000,,,4974330030000.0,4322555280000.0
412,412,412,Thặng dư vốn cổ phần,,5.364.062.000,6.079.662.000,,,5364062000.0,6079662000.0
418,418,418,Quỹ đầu tư phát triển,,15.561.628.379,8.822.456.079,,,15561628379.0,8822456079.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,,-,1.739.172.300,,,,1739172300.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",,1.446.743.571.997,1.116.710.675.697,,,1446743571997.0,1116710675697.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,863.936.154.090,703.328.280.943,,,863936154090.0,703328280943.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,582.807.417.907,413.382.394.754,,,582807417907.0,413382394754.0
429,429,429,Lợi ích cổ đông không kiểm soát,,1.557.485.391.424,1.465.635.831.474,,,1557485391424.0,1465635831474.0
430,430,430,Nguồn kinh phí và quỹ khác,,4.173.092.872.545,4.008.083.872.545,,,4173092872545.0,4008083872545.0
432,432,432,Nguồn kinh phí đã hình thành TSCĐ,,4.173.092.872.545,4.008.083.872.545,,,4173092872545.0,4008083872545.0
440,440,440,TỔNG NGUỒN VỐN,,40.752.075.682.457,38.906.360.732.239,,,40752075682457.0,38906360732239.0
