row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày > 31.12.2025 VND,Tại ngày > 01.01.2025 VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025 VND,numeric__Tại ngày > 01.01.2025 VND
300,300,300,NỘ PHẢI TRẢ,,28.579.498.126.112,27.976.733.782.144,,,28579498126112.0,27976733782144.0
310,310,310,Nợ ngắn hạn,,3.561.610.617.415,3.678.947.981.964,,,3561610617415.0,3678947981964.0
311,311,311,Phải trả người bán ngắn hạn,V.15a,1.037.199.795.714,902.851.126.374,,,1037199795714.0,902851126374.0
312,312,312,Người mua trả tiền trước ngắn hạn,V.16a,102.791.223.460,4.719.425.163,,,102791223460.0,4719425163.0
313,313,313,Thuế và các khoản phải nộp ngân sách Nhà nước,V.17a,112.937.422.762,93.313.752.177,,,112937422762.0,93313752177.0
314,314,314,Phải trả người lao động,V.18,31.738.474.878,27.297.574.185,,,31738474878.0,27297574185.0
315,315,315,Chi phí phải trả ngắn hạn,V.19a,335.340.805.490,587.202.270.332,,,335340805490.0,587202270332.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,V.20a,1.194.181.818,1.100.000.000,,,1194181818.0,1100000000.0
319,319,319,Phải trả ngắn hạn khác,V.21a,954.509.487.657,975.656.621.369,,,954509487657.0,975656621369.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,V.22a,979.820.050.821,1.080.704.037.549,,,979820050821.0,1080704037549.0
322,322,322,"Quý khen thưởng, phúc lợi",,6.079.174.815,6.103.174.815,,,6079174815.0,6103174815.0
330,330,330,Nợ dài hạn,,25.017.887.508.697,24.297.785.800.180,,,25017887508697.0,24297785800180.0
331,331,331,Phải trả người bán dài hạn,V.15b,260.845.755.724,285.528.611.856,,,260845755724.0,285528611856.0
332,332,332,Người mua trả tiền trước dài hạn,V.16b,507.937.125.175,232.651.836.038,,,507937125175.0,232651836038.0
333,333,333,Chi phí phải trả dài hạn,V.19b,6.576.282.356.750,5.671.857.412.889,,,6576282356750.0,5671857412889.0
336,336,336,Doanh thu chưa thực hiện dài hạn,V.20b,11.223.836.612,6.649.932.236,,,11223836612.0,6649932236.0
337,337,337,Phải trả dài hạn khác,V.21b,35.280.476.625,38.822.766.625,,,35280476625.0,38822766625.0
338,338,338,Vay và nợ thuê tài chính dài hạn,V.22b,17.479.169.217.555,17.912.050.154.563,,,17479169217555.0,17912050154563.0
341,341,341,Thuế thu nhập hoãn lại phải trả,V.23b,147.148.740.256,150.225.085.973,,,147148740256.0,150225085973.0
