row_label_raw,row_label_full,Các thành viên của Hội đồng Quản trị bao gồm:,Các thành viên của Hội đồng Quản trị bao gồm:_1,Các thành viên của Hội đồng Quản trị bao gồm:_2,Các thành viên của Hội đồng Quản trị bao gồm:_3,numeric__Các thành viên của Hội đồng Quản trị bao gồm:_1,numeric__Các thành viên của Hội đồng Quản trị bao gồm:_2,numeric__Các thành viên của Hội đồng Quản trị bao gồm:_3
,,,,Bổ nhiệm,Miễn nhiệm,,,
Ông Hồ Minh Hoàng,Ông Hồ Minh Hoàng,Ông Hồ Minh Hoàng,Chủ tịch,31/05/2024,,,,
Ông Nguyễn Tấn Đông,Ông Nguyễn Tấn Đông,Ông Nguyễn Tấn Đông,Phó Chủ tịch,31/05/2024,,,,
Ông Nguyễn Hữu Hùng,Ông Nguyễn Hữu Hùng,Ông Nguyễn Hữu Hùng,Phó Chủ tịch,31/05/2024,,,,
Ông Võ Thụy Linh,Ông Võ Thụy Linh,Ông Võ Thụy Linh,Thành viên,31/05/2024,,,,
Ông Trần Chủng,Ông Trần Chủng,Ông Trần Chủng,Thành viên,31/05/2024,,,,
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Thành viên,31/05/2024,,,,
Ông Hoàng Văn Hải,Ông Hoàng Văn Hải,Ông Hoàng Văn Hải,Thành viên độc lập,31/05/2024,,,,
Ông Hồ Quang Lợi,Ông Hồ Quang Lợi,Ông Hồ Quang Lợi,Thành viên độc lập,31/05/2024,,,,
Các thành viên của Ban Tổng Giám đốc bao gồm:,Các thành viên của Ban Tổng Giám đốc bao gồm:,Các thành viên của Ban Tổng Giám đốc bao gồm:,Các thành viên của Ban Tổng Giám đốc bao gồm:,Các thành viên của Ban Tổng Giám đốc bao gồm:,Các thành viên của Ban Tổng Giám đốc bao gồm:,,,
,,,,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Tổng Giám đốc,21/12/2020,16/05/2025,,,
Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Phó TGD thường trực,01/10/2024,16/05/2025,,,
Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Tổng Giám đốc,16/05/2025,,,,
Ông Trần Văn Chí,Ông Trần Văn Chí,Ông Trần Văn Chí,Phó Tổng Giám đốc,14/02/2022,,,,
Ông Võ Ngọc Trung,Ông Võ Ngọc Trung,Ông Võ Ngọc Trung,Phó Tổng Giám đốc,10/12/2020,,,,
Ông Trần Văn Dũng,Ông Trần Văn Dũng,Ông Trần Văn Dũng,Phó Tổng Giám đốc,14/01/2021,,,,
Bà Nguyễn Quỳnh Mai,Bà Nguyễn Quỳnh Mai,Bà Nguyễn Quỳnh Mai,Phó Tổng Giám đốc,30/03/2021,,,,
Ông Lê Châu Thắng,Ông Lê Châu Thắng,Ông Lê Châu Thắng,Phó Tổng Giám đốc,14/02/2022,,,,
Ông Nguyễn Lê Bách,Ông Nguyễn Lê Bách,Ông Nguyễn Lê Bách,Phó Tổng Giám đốc,01/10/2024,,,,
Ông Nguyễn Văn Ăn,Ông Nguyễn Văn Ăn,Ông Nguyễn Văn Ăn,Phó Tổng Giám đốc,07/06/2025,,,,
Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,Các thành viên của Ban Kiểm soát bao gồm:,,,
,,,,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Minh Giang,Ông Nguyễn Minh Giang,Ông Nguyễn Minh Giang,Trường ban,31/05/2024,,,,
Bà Cam Thị Minh Hải,Bà Cam Thị Minh Hải,Bà Cam Thị Minh Hải,Kiểm soát viên,23/05/2025,,,,
Bà Phan Thị Mai,Bà Phan Thị Mai,Bà Phan Thị Mai,Kiểm soát viên,26/04/2021,,,,
Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,Đại diện theo pháp luật:,,,
,,,,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Tổng Giám đốc,21/12/2020,20/05/2025,,,
Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Ông Ngọ Trường Nam,Tổng Giám đốc,20/05/2025,,,,
Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,Kế toán trưởng:,,,
,,,,Bổ nhiệm,Miễn nhiệm,,,
Ông Nguyễn Văn Ăn,Ông Nguyễn Văn Ăn,Ông Nguyễn Văn Ăn,,17/06/2020,06/06/2025,,,
Ông Lê Công Nghĩa,Ông Lê Công Nghĩa,Ông Lê Công Nghĩa,,06/06/2025,,,,
