row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,31.12.2025VND,01.01.2025VND,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__31.12.2025VND,numeric__01.01.2025VND
PHẢI THU NGẮN HẠN KHÁC,PHẢI THU NGẮN HẠN KHÁC,PHẢI THU NGẮN HẠN KHÁC,,,12.782.778.880,91.192.934.288,,,12782778880.0,91192934288.0
Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty mẹ,Đặt cọc tiền vé máy bay,100.000.000,100.000.000,,,100000000.0,100000000.0
Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty mẹ,Phải thu khác,6.008.780.880,23.875.003.994,,,6008780880.0,23875003994.0
Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty Cổ phần Tập đoàn Đèo Cã,Công ty mẹ,Cộng,6.108.780.880,23.975.003.994,,,6108780880.0,23975003994.0
Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Đặt cọc góp vốn,6.422.000.000,64.302.099.206,,,6422000000.0,64302099206.0
Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,Công ty Cổ phần Cao tốc Đồng Đăng - Trà Lĩnh,"Công ty liên kết, Công ty có liên quan của Phó chủ tịch HĐQT Nguyễn Hữu Hùng, Thành viên HĐQT Nguyễn Quang Huy",Cộng,6.422.000.000,64.302.099.206,,,6422000000.0,64302099206.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"Công ty con của Công ty mẹ, Công ty có liên quan của Thành viên HĐQT Trần Chủng, Thành viên HĐQT Nguyễn Quang Huy, Phó TGD Nguyễn Văn float",Thi công xây lắp,251.998.000,251.998.000,,,251998000.0,251998000.0
Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,Công ty Cổ phần Đầu tư và Xây dựng ICV Việt Nam,"Công ty con của Công ty mẹ, Công ty có liên quan của Thành viên HĐQT Trần Chủng, Thành viên HĐQT Nguyễn Quang Huy, Phó TGD Nguyễn Văn float",Cộng,251.998.000,251.998.000,,,251998000.0,251998000.0
Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,"Công ty liên kết, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Tân Đông",Phải thu khác,-,2.663.833.088,,,,2663833088.0
Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,Công ty Cổ phần Cao tốc Cam Lâm - Vĩnh Hảo,"Công ty liên kết, Công ty có liên quan của Phó Chủ tịch HĐQT Nguyễn Tân Đông",Cộng,-,2.663.833.088,,,,2663833088.0
