row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,"Phần mềm, bàn quyền VND",Tổng cộng VND,numeric__Quyền sử dụng đất VND,"numeric__Phần mềm, bàn quyền VND",numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,25.400.891.068,4.372.182.650,29.773.073.718,25400891068.0,4372182650.0,29773073718.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.947.650.000,7.952.394.134,18.900.044.134,10947650000.0,7952394134.0,18900044134.0
Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 15),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 15),Chuyển từ xây dựng cơ bản dở dang (Thuyết minh 15),-,3.057.100.000,3.057.100.000,,3057100000.0,3057100000.0
Chuyển sang hàng tồn kho,Nguyên giá > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(2.862.937.000),-,(2.862.937.000),-2862937000.0,,-2862937000.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(112.225.000),(112.225.000),,-112225000.0,-112225000.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,1.394.894.192,-,1.394.894.192,1394894192.0,,1394894192.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,34.880.498.260,15.269.451.784,50.149.950.044,34880498260.0,15269451784.0,50149950044.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,-,(1.190.104.887),(1.190.104.887),,-1190104887.0,-1190104887.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(4.343.023.678),(4.343.023.678),,-4343023678.0,-4343023678.0
"Thanh lý, nhượng bán","Khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,112.225.000,112.225.000,,112225000.0,112225000.0
Tại ngày 31 tháng 12 năm 2017,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,-,(5.420.903.565),(5.420.903.565),,-5420903565.0,-5420903565.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,25.400.891.068,3.182.077.763,28.582.968.831,25400891068.0,3182077763.0,28582968831.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,34.880.498.260,9.848.548.219,44.729.046.479,34880498260.0,9848548219.0,44729046479.0
