row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Quyềnsử dụng đấtVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Quyềnsử dụng đấtVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,233.231.746.946,82.786.289.102,316.018.036.048,233231746946.0,82786289102.0,316018036048.0
Tăng (i),Nguyên giá > Tăng (i),Tăng (i),2.400.000.000,930.957.140.000,933.357.140.000,2400000000.0,930957140000.0,933357140000.0
Chuyển từ hàng tồn kho (ii),Nguyên giá > Chuyển từ hàng tồn kho (ii),Chuyển từ hàng tồn kho (ii),81.014.835.166,1.472.297.333,82.487.132.499,81014835166.0,1472297333.0,82487132499.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,316.646.582.112,1.015.215.726.435,1.331.862.308.547,316646582112.0,1015215726435.0,1331862308547.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2017,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,(7.847.969.794),-,(7.847.969.794),-7847969794.0,,-7847969794.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(9.534.539.370),-,(9.534.539.370),-9534539370.0,,-9534539370.0
Tại ngày 31 tháng 12 năm 2017,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,(17.382.509.164),-,(17.382.509.164),-17382509164.0,,-17382509164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,225.383.777.152,82.786.289.102,308.170.066.254,225383777152.0,82786289102.0,308170066254.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,299.264.072.948,1.015.215.726.435,1.314.479.799.383,299264072948.0,1015215726435.0,1314479799383.0
