row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần (""TMCP"")Sài Gòn Thương Tín – Sở Giao dịch (i)",250.000.000.000,250.000.000.000_1,numeric__250.000.000.000,numeric__250.000.000.000_1
Ngân hàng TMCP Tiên Phong– Chi nhánh Sài Gòn (ii),Ngân hàng TMCP Tiên Phong– Chi nhánh Sài Gòn (ii),Ngân hàng TMCP Tiên Phong– Chi nhánh Sài Gòn (ii),200.000.000.000,150.000.000.000,200000000000.0,150000000000.0
Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (iii),Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (iii),Ngân hàng TMCP Ngoại thương Việt Nam– Chi nhánh Nam Sài Gòn (iii),73.542.207.620,150.153.000.000,73542207620.0,150153000000.0
Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),Vietnam Joint Stock Commercial Bank for Industry and Trade Filiale Deutschland (iv),34.102.500.000,-,34102500000.0,
Maybank International Labuan Branch (iv),Maybank International Labuan Branch (iv),Maybank International Labuan Branch (iv),20.461.500.000,-,20461500000.0,
"The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (iv)","The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (iv)","The Shanghai Commercial & Savings Bank, Ltd. – Offshore Banking Branch (iv)",6.820.500.000,-,6820500000.0,
Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (iv),Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (iv),Ngân hàng Malayan Banking Berhad – Chi nhánh Thành phố Hồ Chí Minh (iv),2.224.000.000,-,2224000000.0,
"Chailease International Financial Services co., Ltd (iv)","Chailease International Financial Services co., Ltd (iv)","Chailease International Financial Services co., Ltd (iv)",4.547.000.000,-,4547000000.0,
Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,-,160.000.000.000,,160000000000.0
Ngân hàng TMCP Bản Việt– Chi nhánh Gia Định,Ngân hàng TMCP Bản Việt– Chi nhánh Gia Định,Ngân hàng TMCP Bản Việt– Chi nhánh Gia Định,-,98.828.896.087,,98828896087.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,-,65.852.481.875,,65852481875.0
,,,591.697.707.620,874.834.377.962,591697707620.0,874834377962.0
