row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2017VND,Số (phải thu)/phàinộp trong nămVND,Cán trừtrong nămVND,Số đã thực nộptrong nămVND,Tại ngày31.12.2017VND,numeric__col_1,numeric__Tại ngày1.1.2017VND,numeric__Số (phải thu)/phàinộp trong nămVND,numeric__Cán trừtrong nămVND,numeric__Số đã thực nộptrong nămVND,numeric__Tại ngày31.12.2017VND
(a),(a),(a),Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,,
(a),(a) > (a),(a),Thuế GTGT được khấu trừ,(127.296.421.310),(195.406.263.886),146.200.664.778,-,(176.502.020.418),,-127296421310.0,-195406263886.0,146200664778.0,,-176502020418.0
(a),(a) > (a),(a),Thuế GTGT nộp thừa,-,(1.044.485.377),-,-,(1.044.485.377),,,-1044485377.0,,,-1044485377.0
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp tạm nộp 1%,(41.166.077.595),-,35.671.343.248,(225.947.581),(5.720.681.928),,-41166077595.0,,35671343248.0,-225947581.0,-5720681928.0
(a),(a) > (a),(a),Thuế thu nhập doanh nghiệp theo kết quả hoạt động sản xuất kinh doanh,(20.003.164.878),-,(35.671.343.248),(941.995.382),(56.616.503.508),,-20003164878.0,,-35671343248.0,-941995382.0,-56616503508.0
(a),(a) > (a),(a),,(188.465.663.783),(196.450.749.263),146.200.664.778,(1.167.942.963),(239.883.691.231),,-188465663783.0,-196450749263.0,146200664778.0,-1167942963.0,-239883691231.0
(b),(b),(b),Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,,
(b),(b) > (b),(b),Thuế GTGT,-,146.736.856.153,(146.200.664.778),(536.191.375),-,,,146736856153.0,-146200664778.0,-536191375.0,
(b),(b) > (b),(b),Thuế thu nhập cá nhân,2.626.071.891,104.303.345.844,-,(94.840.836.851),12.088.580.884,,2626071891.0,104303345844.0,,-94840836851.0,12088580884.0
(b),(b) > (b),(b),Thuế khác,67.461.744,27.363.976.536,-,(24.122.834.872),3.308.603.408,,67461744.0,27363976536.0,,-24122834872.0,3308603408.0
(b),(b) > (b),(b),,2.693.533.635,278.404.178.533,(146.200.664.778),(119.499.863.098),15.397.184.292,,2693533635.0,278404178533.0,-146200664778.0,-119499863098.0,15397184292.0
