row_label_raw,row_label_full,Công ty TNHH Đầu tư Địa ốc Nova Saigon Royal,53.940.412.501,20.060.861.327,numeric__53.940.412.501,numeric__20.060.861.327
Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,48.748.826.390,37.310.358.332,48748826390.0,37310358332.0
Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,37.957.074.566,35.199.999.998,37957074566.0,35199999998.0
Công ty TNHH Bất động sản Khải Hưng,Công ty TNHH Bất động sản Khải Hưng,Công ty TNHH Bất động sản Khải Hưng,23.186.732.605,4.956.506.393,23186732605.0,4956506393.0
Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,Công ty Cổ phần Ngôi Nhà Mega,12.473.602.129,5.645.327.091,12473602129.0,5645327091.0
Công ty TNHH Nova An Phú,Công ty TNHH Nova An Phú,Công ty TNHH Nova An Phú,11.742.319.455,4.133.525.249,11742319455.0,4133525249.0
Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bất động sản Nova Phúc Nguyên,9.444.361.222,19.103.294.946,9444361222.0,19103294946.0
Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,Công ty Cổ phần Điện tử và Dịch vụ Công nghiệp Sài Gòn,4.553.310.664,-,4553310664.0,
Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,Công ty Cổ phần Đầu tư Địa ốc No Va,955.295.194,2.392.678.065,955295194.0,2392678065.0
Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,684.302.012,7.813.943.786,684302012.0,7813943786.0
Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,-,5.663.960.136,,5663960136.0
Công ty TNHH No Va Thảo Điền,Công ty TNHH No Va Thảo Điền,Công ty TNHH No Va Thảo Điền,-,46.864.999,,46864999.0
Công ty Cổ phần Đầu tư Quảng trường Mê Linh,Công ty Cổ phần Đầu tư Quảng trường Mê Linh,Công ty Cổ phần Đầu tư Quảng trường Mê Linh,-,5.450.000,,5450000.0
Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,-,1.020.833.333,,1020833333.0
,,,203.686.236.738,143.353.603.655,203686236738.0,143353603655.0
