row_label_raw,row_label_full,Gw Supernova Pte.Ltd. (i),1.136.750.000.000,1.139.500.000.000,numeric__1.136.750.000.000,numeric__1.139.500.000.000
"Credit Suisse AG, Chi nhánh Singapore (ii)","Credit Suisse AG, Chi nhánh Singapore (ii)","Credit Suisse AG, Chi nhánh Singapore (ii)",750.255.000.000,1.367.400.000.000,750255000000.0,1367400000000.0
Crane Investments Limited in Respect of Series 211 (ii),Crane Investments Limited in Respect of Series 211 (ii),Crane Investments Limited in Respect of Series 211 (ii),954.870.000.000,-,954870000000.0,
