row_label_raw,row_label_full,col_0,col_1,Tại ngày1.1.2017VND,Nhận tiền vayVND,Đánh giá chênh lệch tỷ giáVND,Vay dài hạn đến hạn trảVND,Phân loại lại do bản sáp nhậpVND,Trả nợ vay; hoán đổi cổ phiếu/Phân bổ trái phiếuVND,Tại ngày31.12.2017VND,numeric__col_1,numeric__Tại ngày1.1.2017VND,numeric__Nhận tiền vayVND,numeric__Đánh giá chênh lệch tỷ giáVND,numeric__Vay dài hạn đến hạn trảVND,numeric__Phân loại lại do bản sáp nhậpVND,numeric__Trả nợ vay; hoán đổi cổ phiếu/Phân bổ trái phiếuVND,numeric__Tại ngày31.12.2017VND
(a),(a),(a),Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
(a),(a) > (a),(a),Vay ngân hàng (*),874.834.377.962,460.542.207.620,-,518.155.500.000,-,(1.261.834.377.962),591.697.707.620,,874834377962.0,460542207620.0,,518155500000.0,,-1261834377962.0,591697707620.0
(a),(a),(a),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),Vay bên liên quan (**),,,,,,,,
(a),(a) > (a),(a),(Thuyết minh 38(b)),1.443.301.832.600,1.599.400.000.000,-,-,(34.300.000.000),(1.198.949.157.230),1.809.452.675.370,,1443301832600.0,1599400000000.0,,,-34300000000.0,-1198949157230.0,1809452675370.0
(a),(a) > (a),(a),Vay bên thứ ba (***),1.035.339.258.542,2.974.207.060.237,-,-,34.300.000.000,(4.043.846.318.779),-,,1035339258542.0,2974207060237.0,,,34300000000.0,-4043846318779.0,
(a),(a) > (a),(a),Trái phiếu (****),700.000.000.000,-,-,1.900.000.000.000,-,(700.000.000.000),1.900.000.000.000,,700000000000.0,,,1900000000000.0,,-700000000000.0,1900000000000.0
(a),(a) > (a),(a),,4.053.475.469.104,5.034.149.267.857,-,2.418.155.500.000,-,(7.204.629.853.971),4.301.150.382.990,,4053475469104.0,5034149267857.0,,2418155500000.0,,-7204629853971.0,4301150382990.0
(b),(b),(b),Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
(b),(b) > (b),(b),Vay ngân hàng (*),545.545.188.393,774.276.686.772,(290.000.000),(518.155.500.000),-,(137.976.875.165),663.399.500.000,,545545188393.0,774276686772.0,-290000000.0,-518155500000.0,,-137976875165.0,663399500000.0
(b),(b) > (b),(b),Vay bên thứ ba (***),2.506.900.000.000,1.707.050.000.000,(4.675.000.000),-,-,(1.367.400.000.000),2.841.875.000.000,,2506900000000.0,1707050000000.0,-4675000000.0,,,-1367400000000.0,2841875000000.0
(b),(b) > (b),(b),Trái phiếu (****),3.482.000.000.000,5.000.000.000.000,-,(1.900.000.000.000),-,(1.016.000.000.000),5.566.000.000.000,,3482000000000.0,5000000000000.0,,-1900000000000.0,,-1016000000000.0,5566000000000.0
(b),(b) > (b),(b),Chỉ phí phát hành trải phiếu,(33.385.570.424),(55.897.000.000),-,-,-,40.522.375.985,(48.760.194.439),,-33385570424.0,-55897000000.0,,,,40522375985.0,-48760194439.0
(b),(b) > (b),(b),,6.501.059.617.969,7.425.429.686.772,(4.965.000.000),(2.418.155.500.000),-,(2.480.854.499.180),9.022.514.305.561,,6501059617969.0,7425429686772.0,-4965000000.0,-2418155500000.0,,-2480854499180.0,9022514305561.0
