row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2017,Nguyên giá > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,46.726.685.352,5.157.336.139,53.427.667.034,10.631.893.545,99.000.000,116.042.582.070,46726685352.0,5157336139.0,53427667034.0,10631893545.0,99000000.0,116042582070.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.000.000,1.480.605.000,1.275.000.000,15.583.517.720,-,18.349.122.720,10000000.0,1480605000.0,1275000000.0,15583517720.0,,18349122720.0
Chuyển từ xây dựng cơ bảnđỗ đang (Thuyết minh 15),Nguyên giá > Chuyển từ xây dựng cơ bảnđỗ đang (Thuyết minh 15),Chuyển từ xây dựng cơ bảnđỗ đang (Thuyết minh 15),-,-,2.456.940.802,-,-,2.456.940.802,,,2456940802.0,,,2456940802.0
Chuyển từ hàng tồn kho,Nguyên giá > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,2.502.691.463,-,-,-,-,2.502.691.463,2502691463.0,,,,,2502691463.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(36.550.000),-,-,36.550.000,-,-,-36550000.0,,,36550000.0,,
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(979.117.543),(496.698.896),(6.421.000.000),-,-,(7.896.816.439),-979117543.0,-496698896.0,-6421000000.0,,,-7896816439.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(6.347.734.734),(705.515.604),-,-,-,(7.053.250.338),-6347734734.0,-705515604.0,,,,-7053250338.0
Tại ngày 31 tháng 12 năm 2017,Nguyên giá > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,41.875.974.538,5.435.726.639,50.738.607.836,26.251.961.265,99.000.000,124.401.270.278,41875974538.0,5435726639.0,50738607836.0,26251961265.0,99000000.0,124401270278.0
Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,Khẩu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2017,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,(7.494.231.662),(2.498.620.743),(11.056.727.503),(3.728.286.152),(90.499.988),(24.868.366.048),-7494231662.0,-2498620743.0,-11056727503.0,-3728286152.0,-90499988.0,-24868366048.0
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(1.606.552.608),(978.998.923),(8.144.130.187),(3.860.254.832),(8.500.012),(14.598.436.562),-1606552608.0,-978998923.0,-8144130187.0,-3860254832.0,-8500012.0,-14598436562.0
Phân loại lại,Khẩu hao lũy kế > Phân loại lại,Phân loại lại,21.320.838,-,-,(21.320.838),-,-,21320838.0,,,-21320838.0,,
"Thanh lý, nhượng bán","Khẩu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",979.117.543,240.240.180,2.862.356.053,-,-,4.081.713.778,979117543.0,240240180.0,2862356053.0,,,4081713778.0
Giảm khác,Khẩu hao lũy kế > Giảm khác,Giảm khác,854.615.460,-,-,-,-,854.615.460,854615460.0,,,,,854615460.0
Tại ngày 31 tháng 12 năm 2017,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,(7.245.730.427),(3.237.379.486),(16.338.501.637),(7.609.861.822),(99.000.000),(34.530.473.372),-7245730427.0,-3237379486.0,-16338501637.0,-7609861822.0,-99000000.0,-34530473372.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,39.232.453.690,2.658.715.396,42.370.939.531,6.903.607.393,8.500.012,91.174.216.022,39232453690.0,2658715396.0,42370939531.0,6903607393.0,8500012.0,91174216022.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,34.630.244.111,2.198.347.153,34.400.106.199,18.642.099.443,-,89.870.796.906,34630244111.0,2198347153.0,34400106199.0,18642099443.0,,89870796906.0
