row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn góp của chủ sở hữu_1,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu,numeric__Vốn góp của chủ sở hữu_1,numeric__Thặng dư vốn cổ phần VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
,,,Cổ phần thường VND,Cổ phần ưu đãi VND,Thặng dư vốn cổ phần VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,,,,,
Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,Tại ngày 1 tháng 1 năm 2016,3.504.657.610.000,178.300.000.000,882.598.605.400,276.039.105.278,4.841.595.320.678,3504657610000.0,178300000000.0,882598605400.0,276039105278.0,4841595320678.0
Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,Phát hành cổ phần phổ thông,1.017.039.570.000,-,-,-,1.017.039.570.000,1017039570000.0,,,,1017039570000.0
Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,Phát hành cổ phần phổ thông từ nguồn thẳng dư vốn cổ phần,519.995.160.000,-,(519.995.160.000),-,-,519995160000.0,,-519995160000.0,,
Chào bán riêng lẻ,Chào bán riêng lẻ,Chào bán riêng lẻ,522.000.000.000,-,2.031.423.000.000,-,2.553.423.000.000,522000000000.0,,2031423000000.0,,2553423000000.0
Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,Chuyển đổi cổ phần ưu đãi sang cổ phần phổ thông,330.000.000.000,(110.000.000.000),(220.000.000.000),-,-,330000000000.0,-110000000000.0,-220000000000.0,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(53.490.000.000),(53.490.000.000),,,,-53490000000.0,-53490000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,857.005.044.292,857.005.044.292,,,,857005044292.0,857005044292.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,5.893.692.340.000,68.300.000.000,2.174.026.445.400,1.079.554.149.570,9.215.572.934.970,5893692340000.0,68300000000.0,2174026445400.0,1079554149570.0,9215572934970.0
Phát hành cổ phần phổ thông hoán đối nợ (i),Phát hành cổ phần phổ thông hoán đối nợ (i),Phát hành cổ phần phổ thông hoán đối nợ (i),334.595.540.000,-,1.032.804.460.000,-,1.367.400.000.000,334595540000.0,,1032804460000.0,,1367400000000.0
Phát hành cổ phần thường theo chương trình ESOP cho nhân viên (ii),Phát hành cổ phần thường theo chương trình ESOP cho nhân viên (ii),Phát hành cổ phần thường theo chương trình ESOP cho nhân viên (ii),200.000.000.000,-,-,-,200.000.000.000,200000000000.0,,,,200000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(24.765.000.000),(24.765.000.000),,,,-24765000000.0,-24765000000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,421.890.218.428,421.890.218.428,,,,421890218428.0,421890218428.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,6.428.287.880.000,68.300.000.000,3.206.830.905.400,1.476.679.367.998,11.180.098.153.398,6428287880000.0,68300000000.0,3206830905400.0,1476679367998.0,11180098153398.0
