row_label_raw,row_label_full,STT,Tên,Hoạt động chính,Tỷ lệ kiểm soát %,Vốn điều lệ VND,numeric__Tên,numeric__Hoạt động chính,numeric__Tỷ lệ kiểm soát %,numeric__Vốn điều lệ VND
1,1,1,Công ty TNHH Phát triểnQuốc tế Thế kỳ 21,Kinh doanh bất động sản,"98,97",2.534.458.265.952,,,98.97,2534458265952.0
2,2,2,Công ty Cổ phần Nova Richstar,Kinh doanh bất động sản,"99,99",724.000.000.000,,,99.99,724000000000.0
3,3,3,Công ty Cổ phần Đầu tưThương mại Nhà Rồng,Kinh doanh bất động sản,"99,97",327.426.000.000,,,99.97,327426000000.0
4,4,4,Công ty TNHH Mega Tie,Kinh doanh bất động sản,"99,99",191.400.000.000,,,99.99,191400000000.0
5,5,5,Công ty TNHH Sài Gòn Gôn,"Kinh doanh sân gôn, văn phòng cho thuê","100,00",490.000.000.000,,,100.0,490000000000.0
6,6,6,Công ty Cổ phần Cao ốcPhương Đông,Kinh doanh bất động sản,"99,90",182.000.000.000,,,99.9,182000000000.0
7,7,7,Công ty TNHH Bất động sảnGia Phú,Kinh doanh bất động sản,"99,99",1.065.000.000.000,,,99.99,1065000000000.0
8,8,8,Công ty TNHH Bất động sảnNova Riverside,Kinh doanh bất động sản,"99,98",1.115.144.468.745,,,99.98,1115144468745.0
9,9,9,Công ty TNHH Merufa-Nova,Kinh doanh bất động sản,"99,99",125.000.000.000,,,99.99,125000000000.0
10,10,10,Công ty Cổ phần Địa ỐcNhật Hoa,Kinh doanh bất động sản,"99,90",510.000.000.000,,,99.9,510000000000.0
