row_label_raw,row_label_full,Công ty TNHH Phát triển Quốc tế Thế Kỷ 21,318.648.699.887,27.635.256.000,numeric__318.648.699.887,numeric__27.635.256.000
Công ty TNHH Bắt động sản Gia Phú,Công ty TNHH Bắt động sản Gia Phú,Công ty TNHH Bắt động sản Gia Phú,63.890.663.296,-,63890663296.0,
Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,Công ty TNHH Nova Rivergate,59.497.306.988,52.919.136.119,59497306988.0,52919136119.0
Công ty Cổ phần Nova Richstar,Công ty Cổ phần Nova Richstar,Công ty Cổ phần Nova Richstar,56.138.478.000,54.201.444.000,56138478000.0,54201444000.0
Công ty TNHH Đầu tư và Phát triển Bắt động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bắt động sản Nova Phúc Nguyên,Công ty TNHH Đầu tư và Phát triển Bắt động sản Nova Phúc Nguyên,39.650.171.207,33.300.327.304,39650171207.0,33300327304.0
Công ty TNHH Nova Sagel,Công ty TNHH Nova Sagel,Công ty TNHH Nova Sagel,34.265.871.600,48.797.100.000,34265871600.0,48797100000.0
Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,Công ty TNHH Nova Sasco,33.084.300.004,35.456.256.000,33084300004.0,35456256000.0
Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,Công ty TNHH Nova Lucky Palace,28.693.172.869,49.504.834.459,28693172869.0,49504834459.0
Công ty TNHH Một thành viên Novaland Agent,Công ty TNHH Một thành viên Novaland Agent,Công ty TNHH Một thành viên Novaland Agent,27.320.538.277,12.162.677.032,27320538277.0,12162677032.0
Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,Công ty Cổ phần Đầu tư và Thương mại Nhà Rồng,25.812.375.600,7.864.923.000,25812375600.0,7864923000.0
Công ty Cổ phần Cao ốc Phương Đông,Công ty Cổ phần Cao ốc Phương Đông,Công ty Cổ phần Cao ốc Phương Đông,25.793.345.755,10.778.953.156,25793345755.0,10778953156.0
Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,Công ty TNHH Nova Nam Á,19.396.695.596,33.872.848.281,19396695596.0,33872848281.0
Công ty Cổ phần Nova Princess Residence,Công ty Cổ phần Nova Princess Residence,Công ty Cổ phần Nova Princess Residence,15.156.420.133,17.025.316.000,15156420133.0,17025316000.0
Công ty Cổ phần Cắng Phú Định,Công ty Cổ phần Cắng Phú Định,Công ty Cổ phần Cắng Phú Định,12.023.898.700,-,12023898700.0,
Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,Công ty Cổ phần Nova Festival,11.895.063.861,27.180.795.610,11895063861.0,27180795610.0
