row_label_raw,row_label_full,Mãsố,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,Thuyếtminh,2017VND,2016VND,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuếĐiều chỉnh cho các khoản:,421.890.218.428,857.005.044.292,,421890218428.0,857005044292.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,Khấu hao tài sản cố định và bắt động sản đầu tư(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá làicác khoản mục tiền tệ có gốc ngoại tệ,28.497.320.448,16.679.619.532,,28497320448.0,16679619532.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Khấu hao tài sản cố định và bắt động sản đầu tư(Lãi)/lỗ chênh lệch tỷ giá hối đoái do đánh giá làicác khoản mục tiền tệ có gốc ngoại tệ,(5.156.804.641),33.704.935.561,,-5156804641.0,33704935561.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,(1.664.913.840.881),(1.332.454.210.667),,-1664913840881.0,-1332454210667.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay và chi phí phát hành trái phiếu,1.207.436.011.071,677.897.599.474,,1207436011071.0,677897599474.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,(Lỗ)/lợi nhuận từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,(12.247.095.575),252.832.988.192,,-12247095575.0,252832988192.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Giảm/(tăng) các khoản phải thu,3.388.267.647.438,(1.891.404.222.956),,3388267647438.0,-1891404222956.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Tăng hàng tồn kho,(272.243.758.657),(1.388.040.945.405),,-272243758657.0,-1388040945405.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Giảm các khoản phải trả,(2.013.503.312.520),(2.424.522.605.043),,-2013503312520.0,-2424522605043.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm/(tăng) chi phí trả trước,121.842.254.160,(60.965.550.427),,121842254160.0,-60965550427.0
