row_label_raw,row_label_full,col_0,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không bị ảnh hưởng do định lại lãi suất,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không bị ảnh hưởng do định lại lãi suất,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I Các khoản nợ chính phủ và NHNN,NỘ PHẢI TRẢ > I Các khoản nợ chính phủ và NHNN,I Các khoản nợ chính phủ và NHNN,-,-,70,162,86,4.362,2.824,-,7.504,,,70.0,162.0,86.0,4362.0,2824.0,,7504.0
II Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > II Tiền gửi và vay các TCTD khác,II Tiền gửi và vay các TCTD khác,-,-,11.881.039,-,-,-,-,-,11.881.039,,,11881039.0,,,,,,11881039.0
III Tiền gửi của khách hàng,NỘ PHẢI TRẢ > III Tiền gửi của khách hàng,III Tiền gửi của khách hàng,-,221.442,3.409.338,6.812.703,4.061.274,59.141.215,48.903.715,-,122.549.687,,221442.0,3409338.0,6812703.0,4061274.0,59141215.0,48903715.0,,122549687.0
"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,25.652,-,25.652,,,,,,,25652.0,,25652.0
V Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > V Phát hành giấy tờ có giá,V Phát hành giấy tờ có giá,-,-,1.950,-,1.000.000,2.000.000,8.000.000,5.018.850,16.020.800,,,1950.0,,1000000.0,2000000.0,8000000.0,5018850.0,16020800.0
VI Các khoản nợ khác,NỘ PHẢI TRẢ > VI Các khoản nợ khác,VI Các khoản nợ khác,-,3.219.561,-,-,-,-,-,-,3.219.561,,3219561.0,,,,,,,3219561.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,-,3.441.003,15.292.397,6.812.865,5.061.360,61.145.577,56.932.191,5.018.850,153.704.243,,3441003.0,15292397.0,6812865.0,5061360.0,61145577.0,56932191.0,5018850.0,153704243.0
Mức chênh nhạy cảm với lãi suất nội bảng,NỘ PHẢI TRẢ > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,1.748.572,2.989.370,27.058.284,66.079.285,9.841.293,(46.051.361),(48.553.312),36.697,13.148.828,1748572.0,2989370.0,27058284.0,66079285.0,9841293.0,-46051361.0,-48553312.0,36697.0,13148828.0
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","NỘ PHẢI TRẢ > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",1.748.572,2.989.370,27.058.284,66.079.285,9.841.293,(46.051.361),(48.553.312),36.697,13.148.828,1748572.0,2989370.0,27058284.0,66079285.0,9841293.0,-46051361.0,-48553312.0,36697.0,13148828.0
