row_label_raw,row_label_full,Kỳ hạn,Tổng giá trị theo mênh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Tổng giá trị theo mênh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Kỳ hạn,Kỳ hạn,Kỳ hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến dưới 05 năm,Kỳ hạn > Từ 12 tháng đến dưới 05 năm,Từ 12 tháng đến dưới 05 năm,4.801.950,-,-,4.801.950,4801950.0,,,4801950.0
Từ 05 năm trở lên,Kỳ hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,2.260.400,-,-,2.260.400,2260400.0,,,2260400.0
,,,7.062.350,-,-,7.062.350,7062350.0,,,7062350.0
