row_label_raw,row_label_full,col_0,Vốn góp/Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,8.334.266,107.289,564,625.708,292.592,1.507.840,10.868.259,8334266.0,107289.0,564.0,625708.0,292592.0,1507840.0,10868259.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,625.070,-,-,84.404,42.202,1.011.255,1.762.931,625070.0,,,84404.0,42202.0,1011255.0,1762931.0
Tăng vốn trong năm (i),Tăng vốn trong năm (i),Tăng vốn trong năm (i),625.070,-,-,-,-,-,625.070,625070.0,,,,,,625070.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,1.011.255,1.011.255,,,,,,1011255.0,1011255.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,84.404,42.202,-,126.606,,,,84404.0,42202.0,,126606.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,(848.740),(848.740),,,,,,-848740.0,-848740.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,-,-,(223.670),(223.670),,,,,,-223670.0,-223670.0
Chia cổ tức (i),Chia cổ tức (i),Chia cổ tức (i),-,-,-,-,-,(625.070),(625.070),,,,,,-625070.0,-625070.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,8.959.336,107.289,564,710.112,334.794,1.670.355,11.782.450,8959336.0,107289.0,564.0,710112.0,334794.0,1670355.0,11782450.0
