row_label_raw,row_label_full,col_0,Nhà và quyènsử dụng đất,Cộng,numeric__Nhà và quyènsử dụng đất,numeric__Cộng
,,,Triệu VND,Triệu VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.683,3.683,3683.0,3683.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.683,3.683,3683.0,3683.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,-,,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.683,3.683,3683.0,3683.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.683,3.683,3683.0,3683.0
