row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,Kỳ này/Cuối kỳ,Kỳ trước/Đầu kỳ,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),157.208.190,142.846.330,304.605,299.345,217.049,100.564,9.123.227,10.238.328,166.853.071,153.484.567,157208190.0,142846330.0,304605.0,299345.0,217049.0,100564.0,9123227.0,10238328.0,166853071.0,153484567.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,566.596,616.570,566.596,616.570,,,,,,,566596.0,616570.0,566596.0,616570.0
2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,2. Tiền gửi tại Ngân hàng Nhà nước,-,-,-,-,-,-,798.225,887.264,798.225,887.264,,,,,,,798225.0,887264.0,798225.0,887264.0
3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,3. Tiền gửi và cho vay các TCTD khác,9.694.945,8.036.827,-,-,-,-,6.328.677,7.325.673,16.023.622,15.362.500,9694945.0,8036827.0,,,,,6328677.0,7325673.0,16023622.0,15362500.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,24.599.926,20.992.851,-,-,-,-,-,-,24.599.926,20.992.851,24599926.0,20992851.0,,,,,,,24599926.0,20992851.0
5. Các công cụ tài chính phải sinh và các tài sản tài chính,5. Các công cụ tài chính phải sinh và các tài sản tài chính,5. Các công cụ tài chính phải sinh và các tài sản tài chính,-,-,-,-,184.066,-,-,-,184.066,-,,,,,184066.0,,,,184066.0,
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,109.552.804,99.853.975,-,-,-,-,-,-,109.552.804,99.853.975,109552804.0,99853975.0,,,,,,,109552804.0,99853975.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,9.264.055,10.433.819,136.500,136.500,-,-,-,-,9.400.555,10.570.319,9264055.0,10433819.0,136500.0,136500.0,,,,,9400555.0,10570319.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,168.105,162.845,-,-,-,-,168.105,162.845,,,168105.0,162845.0,,,,,168105.0,162845.0
9. Tài sản cố định và bất động sản đầu tư,9. Tài sản cố định và bất động sản đầu tư,9. Tài sản cố định và bất động sản đầu tư,-,-,-,-,3.683,3.683,1.058.591,1.052.987,1.062.274,1.056.670,,,,,3683.0,3683.0,1058591.0,1052987.0,1062274.0,1056670.0
10. Tài sản Có khác,10. Tài sản Có khác,10. Tài sản Có khác,4.096.460,3.528.858,-,-,29.300,96.881,371.138,355.834,4.496.898,3.981.573,4096460.0,3528858.0,,,29300.0,96881.0,371138.0,355834.0,4496898.0,3981573.0
